ID	Function	Source
bact_IIb_cerein	class IIb bacteriocin, lactobin A/cerein 7B family	TIGR03949
rplD_bact	50S ribosomal protein L4	TIGR03953
integ_memb_HG	DUF3817 domain-containing protein	TIGR03954
rSAM_HydG	[FeFe] hydrogenase H-cluster radical SAM maturase HydG	TIGR03955
rSAM_HydE	[FeFe] hydrogenase H-cluster radical SAM maturase HydE	TIGR03956
hyd_TM1266	putative iron-only hydrogenase system regulator	TIGR03959
rSAM_fuse_unch	TIGR03960 family B12-binding radical SAM protein	TIGR03960
rSAM_QueE_Clost	putative 7-carboxy-7-deazaguanine synthase QueE	TIGR03963
mycofact_TetR	mycofactocin system transcriptional regulator	TIGR03968
Rv0697	mycofactocin system GMC family oxidoreductase MftG	TIGR03970
six_Cys_in_45	six-cysteine ranthipeptide SCIFF	TIGR03973
rSAM_six_Cys	thioether cross-link-forming SCIFF peptide maturase	TIGR03974
chp_LLNDYxLRE	His-Xaa-Ser system protein HxsD	TIGR03976
rSAM_pair_HxsC	His-Xaa-Ser system radical SAM maturase HxsC	TIGR03977
rSAM_paired_1	His-Xaa-Ser system radical SAM maturase HxsB	TIGR03978
His_Ser_Rich	His-Xaa-Ser repeat protein HxsA	TIGR03979
cas1_MYXAN	type I-MYXAN CRISPR-associated endonuclease Cas1	TIGR03983
TIGR03987	HsmA family protein	TIGR03987
antisig_RsrA	mycothiol system anti-sigma-R factor	TIGR03988
rSAM_HemZ	coproporphyrinogen dehydrogenase HemZ	TIGR03994
mycofact_OYE_2	mycofactocin system FadH/OYE family oxidoreductase 2	TIGR03997
thiol_BshC	bacillithiol biosynthesis cysteine-adding enzyme BshC	TIGR03998
thiol_BshA	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA	TIGR03999
poly_gGlu_PgsC	poly-gamma-glutamate biosynthesis protein PgsC	TIGR04011
poly_gGlu_PgsB	poly-gamma-glutamate synthase PgsB	TIGR04012
Bthiol_YpdA	YpdA family putative bacillithiol disulfide reductase	TIGR04018
B_thiol_YtxJ	bacillithiol system redox-active protein YtxJ	TIGR04019
seco_metab_LLM	natural product biosynthesis luciferase-like monooxygenase domain	TIGR04020
sulfur_SfnB	SfnB family sulfur acquisition oxidoreductase	TIGR04022
PPOX_FMN_DR2398	pyridoxamine 5'-phosphate oxidase, FMN-binding family	TIGR04025
PPOX_FMN_cyano	PPOX class probable FMN-dependent enzyme, alr4036 family	TIGR04026
LLM_KPN_01858	putative FMN-dependent luciferase-like monooxygenase	TIGR04027
SBP_KPN_01854	TIGR04028 family ABC transporter substrate-binding protein	TIGR04028
CMD_Avi_7170	CMD domain protein	TIGR04029
perox_Avi_7169	alkylhydroperoxidase domain protein	TIGR04030
toxin_SdpC	sporulation delaying protein family toxin	TIGR04032
export_SdpB	antimicrobial peptide system protein, SdpB family	TIGR04033
export_SdpA	SdpA family antimicrobial peptide system protein	TIGR04034
LLM_CE1758_fam	putative luciferase-like monooxygenase, FMN-dependent, CE1758 family	TIGR04036
LLM_duo_CE1759	LLM-partnered FMN reductase, CE1759 family	TIGR04037
MXAN_0977_Heme2	di-heme enzyme	TIGR04039
glycyl_YjjI	YjjI family glycine radical enzyme	TIGR04040
activase_YjjW	YjjW family glycine radical enzyme activase	TIGR04041
MSMEG_0570_fam	MSMEG_0570 family nitrogen starvation response protein	TIGR04042
rSAM_MSMEG_0568	MSMEG_0568 family radical SAM protein	TIGR04043
MSMEG_0572_fam	MSMEG_0572 family nitrogen starvation response protein	TIGR04044
MSMEG_0567_GNAT	putative N-acetyltransferase, MSMEG_0567 N-terminal domain family	TIGR04045
MSMEG_0569_nitr	MSMEG_0569 family flavin-dependent oxidoreductase	TIGR04046
MSMEG_0565_glyc	MSMEG_0565 family glycosyltransferase	TIGR04047
nitrile_sll0784	Nit6803 family nitriliase	TIGR04048
AIR_rel_sll0787	sll0787 family AIR synthase-like protein	TIGR04049
AZL_007920_fam	metallo-mystery pair system four-Cys motif protein	TIGR04052
rSAM_NirJ1	putative heme d1 biosynthesis radical SAM protein NirJ1	TIGR04054
rSAM_NirJ2	putative heme d1 biosynthesis radical SAM protein NirJ2	TIGR04055
OMP_RagA_SusC	SusC/RagA family TonB-linked outer membrane protein	TIGR04056
SusC_RagA_signa	SusC/RagA subfamily TonB-dependent outer membrane receptor	TIGR04057
dnd_assoc_4	DNA phosphorothioation-associated protein 4	TIGR04062
stp3	glycosyltransferase, exosortase A system-associated	TIGR04063
rSAM_nif11	nif11-like peptide radical SAM maturase	TIGR04064
rSAM_ladder_B12	lipid biosynthesis B12-binding/radical SAM protein	TIGR04072
exo_TIGR04073	exosortase system-associated protein, TIGR04073 family	TIGR04073
bacter_Hen1	3' terminal RNA ribose 2'-O-methyltransferase Hen1	TIGR04074
bacter_Pnkp	polynucleotide kinase-phosphatase	TIGR04075
phero_cyc_pep	KxxxW-cyclized peptide pheromone	TIGR04079
TIGR04081	SbtA family thio(seleno)oxazole RiPP natural product precursor	TIGR04081
rSAM_for_selen	thio(seleno)oxazole modification radical SAM maturase SbtM	TIGR04082
TIGR04086_membr	TIGR04086 family membrane protein	TIGR04086
dnd_restrict_1	DNA phosphorothioation system restriction enzyme	TIGR04095
dnd_rel_methyl	DNA phosphorothioation-associated putative methyltransferase	TIGR04096
biosyn_clust_1	biosynthesis cluster domain	TIGR04098
biosn_Pnap_2097	probable biosynthetic protein, Pnap_2097 family	TIGR04099
SWIM_PBPRA1643	SWIM/SEC-C metal-binding motif protein, PBPRA1643 family	TIGR04102
cxxc_20_cxxc	cxxc_20_cxxc protein	TIGR04104
FeFe_hydrog_B1	monomeric [FeFe] hydrogenase	TIGR04105
cas8c_GSU0052	type I-U CRISPR-associated protein Cas8c	TIGR04106
rSAM_HutW	heme anaerobic degradation radical SAM methyltransferase ChuW/HutW	TIGR04107
HutX	heme utilization cystosolic carrier protein HutX	TIGR04108
heme_ox_HugZ	HugZ family heme oxygenase	TIGR04109
BcepMu_gp16	phage-associated protein, BcepMu gp16 family	TIGR04111
seleno_YedE	YedE family putative selenium transporter	TIGR04112
tSAM_targ_Cxxx	modification target Cys-rich repeat	TIGR04114
rSAM_Cxxx_rpt	radical SAM peptide maturase, CXXX-repeat target family	TIGR04115
CXXX_rpt_assoc	CXXX repeat peptide modification system protein	TIGR04116
Syntroph_Cxxx	Cys-Xaa-Xaa-Xaa repeat radical SAM target protein	TIGR04117
CXXX_matur	CXXX repeat peptide maturase	TIGR04119
DNA_lig_bact	cisplatin damage response ATP-dependent DNA ligase	TIGR04120
DEXH_lig_assoc	ligase-associated DNA damage response DEXH box helicase	TIGR04121
Xnuc_lig_assoc	ligase-associated DNA damage response exonuclease	TIGR04122
P_estr_lig_assc	ligase-associated DNA damage response endonuclease PdeM	TIGR04123
flavo_near_exo	exosortase F system-associated protein	TIGR04127
exoso_Fjoh_1448	exosortase family protein XrtF	TIGR04128
CxxH_BA5709	CxxH/CxxC protein	TIGR04129
Bac_Flav_CTERM	T9SS type B sorting domain-containing protein	TIGR04131
intra_fol_E_lig	putative folate metabolism gamma-glutamate ligase	TIGR04132
rSAM_w_lipo	TIGR04133 family radical SAM/SPASM protein	TIGR04133
FibroRuminTarg	FibroRumin family radical SAM-modified Cys-rich RiPP	TIGR04135
rSAM_FibroRumin	FibroRumin system radical SAM peptide maturase	TIGR04136
Plancto_Ver_chp	Verruc_Plancto-restricted protein	TIGR04138
CxxCx5CxxC_targ	TIGR04139 family peptide modification target	TIGR04139
GG_sam_targ_CFB	TIGR04149 family rSAM-modified RiPP	TIGR04149
exosort_VPLPA	VPLPA-CTERM-specific exosortase XrtD	TIGR04152
exo_VPEID	exosortase E/protease, VPEID-CTERM system	TIGR04162
cobo_pep	modified peptide precursor CbpA	TIGR04164
rSAM_SeCys	arsenosugar biosynthesis radical SAM protein ArsS	TIGR04167
perox_w_seleSAM	arsenosugar biosynthesis-associated peroxidase-like protein	TIGR04169
RNR_1b_NrdE	class 1b ribonucleoside-diphosphate reductase subunit alpha	TIGR04170
RNR_1b_NrdF	class 1b ribonucleoside-diphosphate reductase subunit beta	TIGR04171
DGQHR_dnd_1	DNA phosphorothioation-associated DGQHR protein 1	TIGR04172
IPTL_CTERM	IPTL-CTERM sorting domain-containing protein	TIGR04174
MarR_EPS	MarR family EPS-associated transcriptional regulator	TIGR04176
exosort_XrtH	exosortase H	TIGR04177
rhombo_lipo	rhombotarget lipoprotein	TIGR04179
Por_Secre_tail	T9SS type A sorting domain-containing protein	TIGR04183
ATPgraspMvdD	MvdD family ATP-grasp ribosomal peptide maturase	TIGR04184
ATPgraspMvdC	MvdC family ATP-grasp ribosomal peptide maturase	TIGR04185
GRASP_targ	putative ATP-grasp-modified RiPP	TIGR04186
GRASP_SAV_5884	ATP-grasp ribosomal peptide maturase	TIGR04187
surface_SprA	cell surface protein SprA	TIGR04189
YphP_YqiW	BrxA/BrxB family bacilliredoxin	TIGR04191
GRASP_w_spasm	grasp-with-spasm system ATP-grasp peptide maturase	TIGR04192
SPASM_w_grasp	grasp-with-spasm system SPASM domain peptide maturase	TIGR04193
exosort_xrtJ	exosortase J	TIGR04199
targ_of_XrtJ	PExPT-CTERM protein	TIGR04200
Myxo_Cys_RPT	Cys-rich repeat-containing protein	TIGR04201
RPT_S_cricet	TIGR04203-type repeat-containing surface protein	TIGR04203
CSLREA_Nterm	CSLREA domain-containing protein	TIGR04214
OMP_w_GlyGly	TIGR04219 family outer membrane beta-barrel protein	TIGR04219
patB_acyB_mcaB	cyanobactin biosynthesis system PatB/AcyB/McaB family protein	TIGR04220
SecA2_Mycobac	accessory Sec system translocase SecA2	TIGR04221
near_uncomplex	TIGR04222 domain-containing membrane protein	TIGR04222
CshA_fibril_rpt	fibrillar adhesin CshA-type repeat protein	TIGR04225
nodulat_NodC	chitooligosaccharide synthase NodC	TIGR04242
nodulat_NodB	chitooligosaccharide deacetylase NodB	TIGR04243
nodulat_NodA	NodA family N-acyltransferase	TIGR04245
mesacon_CoA_iso	2-methylfumaryl-CoA isomerase	TIGR04253
nanowire_3heme	c(7)-type cytochrome triheme domain	TIGR04257
4helix_suffix	four helix bundle suffix domain-containing protein	TIGR04258
oxa_formateAnti	oxalate/formate MFS antiporter	TIGR04259
Cyano_gly_rpt	rSAM-associated Gly-rich repeat protein	TIGR04260
NDMA_methanol	NDMA-dependent methanol dehydrogenase	TIGR04266
ThiI_C_thiazole	thiazole biosynthesis domain	TIGR04271
FxsC_Cterm	FxsC protein	TIGR04276
MSEP-CTERM	MSEP-CTERM sorting domain-containing protein	TIGR04286
exosort_XrtK	exosortase K	TIGR04287
meth_Rta_06860	TIGR04290 family methyltransferase	TIGR04290
arsen_driv_ArsA	arsenical pump-driving ATPase	TIGR04291
pre_pil_HX9DG	prepilin-type processing-associated H-X9-DG domain	TIGR04294
B12_rSAM_oligo	TIGR04295 family B12-binding domain-containing radical SAM protein	TIGR04295
antiport_PotE	putrescine-ornithine antiporter	TIGR04299
fol_rel_CADD	CADD family putative folate metabolism protein	TIGR04305
rSAM_Geo_metal	radical SAM/SPASM family putative metalloenzyme maturase	TIGR04311
choice_anch_B	choice-of-anchor B family protein	TIGR04312
dhbA_paeA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	TIGR04316
SpoChoClust_1	sporadic carbohydrate cluster protein, LIC12192 family	TIGR04323
SpoChoClust_2	sporadic carbohydrate cluster 2OG-Fe(II) oxygenase	TIGR04324
O_ant_LIC13510	surface carbohydrate biosynthesis protein, LIC13510 family	TIGR04326
gamma_Glu_sys	poly-gamma-glutamate system protein	TIGR04332
PQQ_MSMEG_3727	PQQ system protein	TIGR04339
target_ACGX	ACGX-repeat peptide	TIGR04341
EXLDI	EXLDI protein	TIGR04342
ovoA_Nterm	5-histidylcysteine sulfoxide synthase	TIGR04344
ovoA_Cterm	putative 4-mercaptohistidine N1-methyltransferase	TIGR04345
DotA_TraY	DotA/TraY family protein	TIGR04346
TIGR04348	selenoneine biosynthesis selenosugar synthase SenB	TIGR04348
rSAM_QueE_gams	7-carboxy-7-deazaguanine synthase QueE	TIGR04349
HprK_rel_A	HprK-related kinase A	TIGR04352
HprK_rel_B	HprK-related kinase B	TIGR04355
grasp_GAK	GAK system ATP-grasp enzyme	TIGR04356
CofD_rel_GAK	GAK system CofD-like protein	TIGR04357
XXXCH_domain	GAK system XXXCH domain-containing protein	TIGR04358
TrbK_RP4	entry exclusion lipoprotein TrbK	TIGR04359
other_trbK	putative entry exclusion protein TrbK-alt	TIGR04360
methyltran_FxLD	methyltransferase, FxLD system	TIGR04364
cupin_WbuC	WbuC family cupin fold metalloprotein	TIGR04366
HpnR_B12_rSAM	hopanoid C-3 methylase HpnR	TIGR04367
Glu_2_3_NH3_mut	glutamate 2,3-aminomutase	TIGR04368
glycosyl_04372	TIGR04372 family glycosyltransferase	TIGR04372
egtB_X_signatur	EgtB-related enzyme signature domain	TIGR04373
myo_inos_iolD	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)	TIGR04377
myo_inos_iolE	myo-inosose-2 dehydratase	TIGR04379
HTH_TypR	TyrR family helix-turn-helix domain	TIGR04381
acidic_w_LPXTA	processed acidic surface protein	TIGR04383
putr_carbamoyl	putrescine carbamoyltransferase	TIGR04384
B12_rSAM_cofa1	B12 lower ligand biosynthesis radical SAM protein BzaD	TIGR04385
capsid_maj_N4	N4-gp56 family major capsid protein	TIGR04387
OMP_YaiO_dom	YaiO family outer membrane beta-barrel protein	TIGR04390
haoB_nitrify	hydroxylamine oxidation protein HaoB	TIGR04392
rpt_T5SS_PEPC	T5SS/PEP-CTERM-associated repeat	TIGR04393
choline_CutC	choline trimethylamine-lyase	TIGR04394
cutC_activ_rSAM	choline TMA-lyase-activating enzyme	TIGR04395
SLAP_DUP	SLAP domain-containing protein	TIGR04398
TAT_Cys_rich	Csp1 family four helix bundle copper storage protein	TIGR04401
mob_CxxC_CxxC	mobilome CxxCx(11)CxxC protein	TIGR04402
SkfF	sporulation killing factor system integral membrane protein	TIGR04405
LPS_export_lptB	LPS export ABC transporter ATP-binding protein	TIGR04406
LptF_YjgP	LPS export ABC transporter permease LptF	TIGR04407
LptG_lptG	LPS export ABC transporter permease LptG	TIGR04408
LptC_YrbK	LPS export ABC transporter periplasmic protein LptC	TIGR04409
T2SS_GspN_Lepto	type II secretion system protein GspN	TIGR04411
MYXAN_cmx8	type I-MYXAN CRISPR-associated protein Cmx8	TIGR04413
hepto_Aah_TibC	autotransporter strand-loop-strand O-heptosyltransferase	TIGR04414
FemAB_IMCC1989	FemAB family protein	TIGR04421
casT3_TIGR04423	TIGR04423 family type III CRISPR-associated protein	TIGR04423
metallo_McbB	McbB family protein	TIGR04424
P_lya_rel_AroB	putative sugar phosphate phospholyase (cyclizing)	TIGR04425
OM_asym_MlaD	outer membrane lipid asymmetry maintenance protein MlaD	TIGR04430
rSAM_Cfr	Cfr family 23S rRNA (adenine(2503)-C(8))-methyltransferase	TIGR04432
UrcA_uranyl	UrcA family protein	TIGR04433
rSAM_Pput_1520	B12-binding domain/radical SAM domain-containing protein	TIGR04434
restrict_AAA_1	restriction system-associated AAA family ATPase	TIGR04435
small_Trp_rich	TIGR04438 family Trp-rich protein	TIGR04438
chori_FkbO_Hyg5	FkbO/Hyg5 family chorismatase	TIGR04444
lipo_MXAN_6521	MXAN_6521/LA_1396 family lipoprotein	TIGR04455
LruC_dom	LruC domain-containing protein	TIGR04456
arg_2_3_am_muta	arginine 2,3-aminomutase	TIGR04468
rSAM_mob_pairA	radical SAM mobile pair protein A	TIGR04471
reg_rSAM_mob	radical SAM mobile pair system MarR family transcriptional regulator	TIGR04472
Phe_D_beta_mut	phenylalanine aminomutase (D-beta-phenylalanine forming)	TIGR04475
exosort_XrtN	exosortase N	TIGR04476
sorted_by_XrtN	XrtN system VIT domain-containing protein	TIGR04477
rSAM_YfkAB	radical SAM/CxCxxxxC motif protein YfkAB	TIGR04478
bcpD_PhpK_rSAM	PhpK family radical SAM P-methyltransferase	TIGR04479
D_pro_red_PrdA	D-proline reductase (dithiol) proprotein PrdA	TIGR04480
PR_assoc_PrdC	proline reductase-associated electron transfer protein PrdC	TIGR04481
D_pro_red_PrdD	proline reductase cluster protein PrdD	TIGR04482
D_pro_red_PrdB	D-proline reductase (dithiol) protein PrdB	TIGR04483
thiosulf_SoxA	sulfur oxidation c-type cytochrome SoxA	TIGR04484
thiosulf_SoxX	sulfur oxidation c-type cytochrome SoxX	TIGR04485
thiosulf_SoxB	thiosulfohydrolase SoxB	TIGR04486
SoxY_true_GGCGG	thiosulfate oxidation carrier protein SoxY	TIGR04488
exosort_XrtO	exosortase O	TIGR04489
SoxZ_true	thiosulfate oxidation carrier complex protein SoxZ	TIGR04490
reactive_PduG	diol dehydratase reactivase subunit alpha	TIGR04491
VioB	iminophenyl-pyruvate dimer synthase VioB	TIGR04492
microcomp_PduM	PduM family microcompartment protein	TIGR04493
c550_PedF	cytochrome c-550 PedF	TIGR04494
abortive_AbiA	AbiA family abortive infection protein	TIGR04499
PpiC_rel_mature	TIGR04500 family putative peptide maturation system protein	TIGR04500
microcomp_PduB	microcompartment protein PduB	TIGR04501
microcomp_EutL	ethanolamine utilization microcompartment protein EutL	TIGR04502
SDR_subfam_2	mycofactocin-coupled SDR family oxidoreductase	TIGR04504
queE_Cx14CxxC	7-carboxy-7-deazaguanine synthase	TIGR04508
mod_pep_NH_fam	NHLP-related RiPP peptide	TIGR04509
SagB_rel_DH_2	putative peptide maturation dehydrogenase	TIGR04511
GWxTD_dom	GWxTD domain-containing protein	TIGR04514
rSAM_PoyD	radical SAM family RiPP maturation amino acid epimerase	TIGR04517
ECF_S_folT_fam	folate family ECF transporter S component	TIGR04518
MoCo_extend_TAT	TAT-variant-translocated molybdopterin oxidoreductase	TIGR04519
ECF_ATPase_2	energy-coupling factor transporter ATPase	TIGR04521
acido_non_PQQ	acido-empty-quinoprotein group A	TIGR04528
ELWxxDGT_rpt	ELWxxDGT repeat protein	TIGR04534
geobac_encap	encapsulated protein	TIGR04536
P450_cycloAA_1	cytochrome P450, cyclodipeptide synthase-associated	TIGR04538
tRNA_cyclodipep	tRNA-dependent cyclodipeptide synthase	TIGR04539
thiaminase_BcmE	thiamine pyridinylase	TIGR04541
ketoArg_3Met	2-ketoarginine methyltransferase	TIGR04543
3metArgNH2trans	beta-methylarginine biosynthesis bifunctional aminotransferase	TIGR04544
LP_HExxH_w_tonB	substrate import-associated zinc metallohydrolase lipoprotein	TIGR04549
TIGR04551	TIGR04551 family protein	TIGR04551
TIGR04552	TIGR04552 family protein	TIGR04552
ABC_peri_selen	putative selenate ABC transporter substrate-binding protein	TIGR04553
sulfite_DH_soxC	sulfite dehydrogenase	TIGR04555
fuse_rel_SoxYZ	quinoprotein dehydrogenase-associated SoxYZ-like carrier	TIGR04557
SoxH_rel_PQQ_1	quinoprotein relay system zinc metallohydrolase 1	TIGR04558
ribo_THX	30S ribosomal protein THX	TIGR04560
TIGR04562	TIGR04552 family protein	TIGR04562
TIGR04563	TIGR04563 family protein	TIGR04563
Synergist_CTERM	SYNERG-CTERM sorting domain-containing protein	TIGR04564
OMP_myx_plus	outer membrane beta-barrel domain-containing protein	TIGR04565
RNAP_delt_lowGC	DNA-directed RNA polymerase subunit delta	TIGR04567
DUF3699	DUF3699 domain-containing protein	PF12480.10
PRK14185.1	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	PRK14185
PRK14289.1	molecular chaperone DnaJ	PRK14289
DUF4933	DUF4933 domain-containing protein	PF16287.7
DUF4958	DUF4958 family protein	PF16319.7
DUF5114	DUF5114 domain-containing protein	PF17141.6
DUF6057	DUF6057 family protein	PF19529.1
bla-A_Chryseo	CGA/CIA family class A beta-lactamase	
spanin2_2	bacteriophage spanin2 family protein	
DUF6341	Family of unknown function (DUF6341)	PF19868.1
LETM1_rel_film	LETM1-related biofilm-associated protein	
GldK	gliding motility lipoprotein GldK	TIGR03525
PRK05329.2-5	glycerol-3-phosphate dehydrogenase subunit GlpB	PRK05329
PRK14562.1-5	haloacid dehalogenase superfamily protein	PRK14562
PRK14950.1	DNA polymerase III subunits gamma and tau	PRK14950
Rcas_1661_fam_Se	Rcas_1661 family thioredoxin-like (seleno)lipoprotein	
PRK06274.1-2	indolepyruvate oxidoreductase subunit beta	PRK06274
PRK09272.1-5	hypothetical protein	PRK09272
PRK09293.2-4	class 1 fructose-bisphosphatase	PRK09293
PRK12820.1	bifunctional aspartyl-tRNA synthetase/aspartyl/glutamyl-tRNA amidotransferase subunit C	PRK12820
PRK13292.1	NADH-quinone oxidoreductase subunit B/C/D	PRK13292
PRK13806.1	30S ribosomal protein S1	PRK13806
PRK14294.1	chaperone protein DnaJ	PRK14294
PRK14851.1	hypothetical protein	PRK14851
DUF4881	DUF4881 domain-containing protein	PF16222.7
SidJ_rel_pseudo	SidJ-related pseudokinase	
DESULF_POR1	outer membrane homotrimeric porin	
ErpA_rel	ErpA-related iron-sulfur cluster insertion protein	
Hexapep_loop	Hexapeptide repeat including loop	PF18776.3
IscA_HesB_Se	IscA/HesB family protein	
SDR_subfam_3	mycofactocin-coupled SDR family oxidoreductase	
UxxU_metal_bind	metal-binding (seleno)protein	
rhodanese_LYCAU	rhodanese-related (seleno)protein	
CAS_csx30	type III-E CRISPR-associated protein Csx30	
CAS_csx31	type III-E CRISPR-associated protein Csx31	
CAS_III-E_sigma	type III-E CRISPR-associated RpoE-like sigma factor	
geopep_mat_rSAM	geopeptide radical SAM maturase	TIGR04280
PRK00064.1-4	DNA replication/repair protein RecF	PRK00064
PRK00228.2-2	YqgE/AlgH family protein	PRK00228
PRK00281.3-1	undecaprenyl-diphosphate phosphatase	PRK00281
PRK00392.8-6	DNA-directed RNA polymerase subunit omega	PRK00392
PRK01060.1-3	deoxyribonuclease IV	PRK01060
PRK01209.1-4	cobalamin biosynthesis protein	PRK01209
PRK02901.1	o-succinylbenzoate synthase	PRK02901
PRK03092.1	ribose-phosphate diphosphokinase	PRK03092
PRK03188.1	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	PRK03188
PRK03381.1	[protein-PII] uridylyltransferase	PRK03381
PRK05182.1-4	DNA-directed RNA polymerase subunit alpha	PRK05182
PRK05261.1-5	phosphoketolase	PRK05261
PRK05329.2-3	glycerol-3-phosphate dehydrogenase subunit GlpB	PRK05329
PRK05476.3-2	adenosylhomocysteinase	PRK05476
PRK05477.1-3	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	PRK05477
PRK05605.1	long-chain-fatty-acid--CoA ligase	PRK05605
PRK05634.1	nucleosidase	PRK05634
PRK05901.1-3	RNA polymerase sigma factor	PRK05901
PRK06061.1	amidase	PRK06061
PRK06526.1	transposase	PRK06526
PRK06635.1-1	aspartate kinase	PRK06635
PRK07239.1	uroporphyrinogen-III synthase	PRK07239
PRK07775.1	SDR family oxidoreductase	PRK07775
PRK07789.1	acetolactate synthase large subunit	PRK07789
PRK07804.1	L-aspartate oxidase	PRK07804
PRK07845.1	NAD(P)H-quinone dehydrogenase	PRK07845
PRK07849.1-3	aminodeoxychorismate lyase	PRK07849
PRK07851.1	acetyl-CoA C-acetyltransferase	PRK07851
PRK07860.1	NADH-quinone oxidoreductase subunit G	PRK07860
PRK07868.1	acyl-CoA synthetase	PRK07868
PRK07883.1-3	DEDD exonuclease domain-containing protein	PRK07883
PRK07908.1	Rv2231c family pyridoxal phosphate-dependent protein CobC	PRK07908
PRK07920.1	phosphatidylinositol mannoside acyltransferase	PRK07920
PRK08324.1-1	bifunctional aldolase/short-chain dehydrogenase	PRK08324
PRK09243.1-5	nicotinate phosphoribosyltransferase	PRK09243
PRK09290.1-4	allantoate amidohydrolase	PRK09290
PRK09357.1-1	dihydroorotase	PRK09357
PRK09368.1	gas vesicle structural protein GvpA	PRK09368
PRK09375.2-2	quinolinate synthase NadA	PRK09375
PRK09542.1	phosphomannomutase/phosphoglucomutase	PRK09542
PRK09646.1	ECF RNA polymerase sigma factor SigK	PRK09646
PRK10577.1-3	Fe(3+)-hydroxamate ABC transporter permease FhuB	PRK10577
PRK12644.1	Na+/H+ antiporter subunit A	PRK12644
PRK12665.1	Na+/H+ antiporter subunit D	PRK12665
PRK12764.1	fumarylacetoacetate hydrolase family protein	PRK12764
PRK14828.1	isoprenyl transferase	PRK14828
Neocarzinostat	neocarzinostatin apoprotein domain-containing protein	PF00960.20
EccE	type VII secretion protein EccE	PF11203.10
Mce4_CUP1	MCE family protein	PF11887.10
MarP_fam_protase	MarP family serine protease	
class_F_sortase	class F sortase	
Cas9_Topo	Topo homolgy domain in CRISPR-associated endonuclease Cas9	PF17894.3
Cas9_C	Cas9 C-terminal domain	PF18525.3
FEA1_rel_lipo	FEA1-related lipoprotein	
LmbU_fam_TF	LmbU family transcriptional regulator	
rSAM_Rv_intein	intein-containing Rv2578c family radical SAM protein	
mft_etfA	mycofactocin-associated electron transfer flavoprotein alpha subunit	
DUF6281	DUF6281 family protein	PF19797.1
DUF6411	DUF6411 family protein	PF19949.1
DUF6416	DUF6416 domain-containing protein	PF19980.1
DUF6027	DUF6027 family protein	PF19492.1
DUF6131	DUF6131 family protein	PF19626.1
DUF6186	DUF6186 family protein	PF19684.1
DUF6300	DUF6300 family protein	PF19817.1
membrane_GPGG	GPGG-motif small membrane protein	
RsbA_anti_sig	anti-sigma factor RsbA family regulatory protein	
ScbR_bind_reg	ScbR family autoregulator-binding transcription factor	
mycofact_MftM	mycofactocin oligosaccharide methyltransferase MftM	
Mtu_fam_mce	MCE family protein	TIGR00996
serC_3	phosphoserine transaminase	TIGR01366
SigE-fam_strep	SigE family RNA polymerase sigma factor	TIGR02983
TIGR03089	TIGR03089 family protein	TIGR03089
TIGR03252	HhH-GPD-type base excision DNA repair protein	TIGR03252
anch_rpt_perm	anchored repeat-type ABC transporter permease subunit	TIGR03770
anch_rpt_subst	anchored repeat ABC transporter, substrate-binding protein	TIGR03772
mycofact_OYE_1	mycofactocin system FadH/OYE family oxidoreductase 1	TIGR03996
MSMEG_0567_Cter	AIR synthase-related protein, MSMEG_0567 C-terminal family	TIGR04050
exp_by_SipW_III	alternate-type signal peptide domain-containing protein	TIGR04089
mft_etfB	mycofactocin-associated electron transfer flavoprotein beta subunit	TIGR04503
TlmB	bleomycin family antibiotic N-acetyltransferase TlmB	
flavi_E_stem	flavivirus envelope glycoprotein E, stem/anchor domain	TIGR04240
FadA	adhesion protein FadA	PF09403.12
fuso_auto_Nterm	autotransporter-associated N-terminal domain-containing protein	
HYExAFE	HYExAFE family protein	
YTV	YTV repeat protein	PF07639.13
TPPII	tripeptidyl peptidase II	PF12580.10
deiodinase_rel	deiodinase family protein	
Sig-70_plancto1	RNA polymerase sigma-70 factor, Planctomycetaceae-specific subfamily 1	TIGR02984
plancto_dom_1	TIGR03000 domain-containing protein	TIGR03000
plancto_dom_2	TIGR03009 domain-containing protein	TIGR03009
PRK06663.1	flagellar hook-associated protein 3	PRK06663
PRK06664.1	flagellar hook-associated protein FliD	PRK06664
PRK06667.1	flagellar motor protein MotB	PRK06667
PRK06669.1-3	flagellar assembly protein FliH	PRK06669
PRK12816.1	flagellar basal body rod protein FlgG	PRK12816
PRK14553.2-1	ribosomal-processing cysteine protease Prp	PRK14553
PRK14720.1	transcription elongation factor GreA	PRK14720
Borrelia_P83	P83/100 family protein	PF05262.13
DUF5312	DUF5312 family protein	PF17239.4
cfpA_ASD	cytoplasmic filament protein CfpA	
spiroSPASM	spiro-SPASM protein	TIGR04321
PABP-1234	polyadenylate binding protein, human types 1, 2, 3, 4 family	TIGR01628
PRK02251.2-2	cell division protein CrgA	PRK02251
PRK06545.2-5	prephenate dehydrogenase	PRK06545
