L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG26332	Hypothetical protein		
Function unknown	VOG26333	Hypothetical protein		
Virus protein with function beneficial for the host	VOG26334	Uncharacterized protein gp35		GP35_BPMU
Function unknown	VOG26335	Hypothetical protein		
Function unknown	VOG26336	Hypothetical protein		
Function unknown	VOG26337	Hypothetical protein		
Function unknown	VOG26338	Hypothetical protein		
Function unknown	VOG26339	Hypothetical protein		
Function unknown	VOG26340	Hypothetical protein		
Function unknown	VOG26341	Hypothetical protein		
Function unknown	VOG26342	Hypothetical protein		
Function unknown	VOG26343	Hypothetical protein		
Function unknown	VOG26344	Hypothetical protein		
Function unknown	VOG26345	Hypothetical protein		
Function unknown	VOG26346	Gamma-glutamylcyclotransferase		GGCT_HUMAN
Function unknown	VOG26347	Hypothetical protein		
Function unknown	VOG26348	Hypothetical protein		
Function unknown	VOG26349	Hypothetical protein		
Function unknown	VOG26350	Hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG26351	Genome polyprotein		POLG_EC01F
Function unknown	VOG26352	Putative orfan		
Function unknown	VOG26353	Cobalamin adenosyltransferase		
Function unknown	VOG26354	Hypothetical protein		
Function unknown	VOG26355	Hypothetical protein		
Virus replication | Virus structure	VOG26356	Nucleoprotein		NCAP_TIBVC
Function unknown	VOG26357	Putative antirepressor		
Function unknown	VOG26358	Hypothetical protein		
Function unknown	VOG26359	Hypothetical protein		
Function unknown	VOG26360	Hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG26361	Capsid assembly protease C		SCAF_LAMBD
Function unknown	VOG26362	Hypothetical protein		
Function unknown	VOG26363	Hypothetical protein		
Function unknown	VOG26364	Putative RNA methyltransferase		
Function unknown	VOG26365	Hypothetical protein		
Function unknown	VOG26366	Hypothetical protein		
Function unknown	VOG26367	Hypothetical protein		
Function unknown	VOG26368	Hypothetical protein		
Function unknown	VOG26369	Hypothetical protein		
Function unknown	VOG26370	Hypothetical protein		
Function unknown	VOG26371	Hypothetical protein		
Function unknown	VOG26372	Hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG26373	Protein C'		C_SENDA
Function unknown	VOG26374	Hypothetical protein		
Function unknown	VOG26375	Hypothetical protein		
Function unknown	VOG26376	Hypothetical protein		
Function unknown	VOG26377	Protease		
Function unknown	VOG26378	Hypothetical protein		
Function unknown	VOG26379	Hypothetical protein		
Function unknown	VOG26380	Hypothetical protein		
Function unknown	VOG26381	Hypothetical protein		
Function unknown	VOG26382	Hypothetical protein		
Function unknown	VOG26383	Hypothetical protein		
Function unknown	VOG26384	Hypothetical protein		
Function unknown	VOG26385	Hypothetical protein		
Function unknown	VOG26386	Hypothetical protein		
Function unknown	VOG26387	Hypothetical protein		
Function unknown	VOG26388	Hypothetical protein		
Function unknown	VOG26389	Hypothetical protein		
Function unknown	VOG26390	Hypothetical protein		
Function unknown	VOG26391	Hypothetical protein		
Function unknown	VOG26392	Hypothetical protein		
Function unknown	VOG26393	Hypothetical protein		
Function unknown	VOG26394	Tail protein		
Function unknown	VOG26395	Hypothetical protein		
Function unknown	VOG26396	Protein UL148B		U148B_HCMVM
Function unknown	VOG26397	Membrane protein		
Function unknown	VOG26398	Hypothetical protein		
Function unknown	VOG26399	Hypothetical protein		
Function unknown	VOG26400	Hypothetical protein		
Function unknown	VOG26401	Hypothetical protein		
Function unknown	VOG26402	Hypothetical protein		
Function unknown	VOG26403	Membrane protein		
Function unknown	VOG26404	Hypothetical protein		
Function unknown	VOG26405	Hypothetical protein		
Function unknown	VOG26406	Hypothetical protein		
Function unknown	VOG26407	Hypothetical protein		
Function unknown	VOG26408	Hypothetical protein		
Function unknown	VOG26409	Hypothetical protein		
Function unknown	VOG26410	Ring domain containing protein		
Function unknown	VOG26411	Hypothetical protein		
Function unknown	VOG26412	Hypothetical protein		
Function unknown	VOG26413	GoF mRNA metabolism modulator		
Function unknown	VOG26414	DNA methyltransferase		
Function unknown	VOG26415	Hypothetical protein		
Function unknown	VOG26416	Hypothetical protein		
Function unknown	VOG26417	Virion structural protein		
Function unknown	VOG26418	Hypothetical protein		
Function unknown	VOG26419	Hypothetical protein		
Function unknown	VOG26420	Hypothetical protein		
Function unknown	VOG26421	Hypothetical protein		
Function unknown	VOG26422	Helicase		
Function unknown	VOG26423	Tail protein		
Function unknown	VOG26424	Hypothetical protein		
Function unknown	VOG26425	Hypothetical protein		
Function unknown	VOG26426	Hypothetical protein		
Function unknown	VOG26427	Gene 81 protein		VG81_BPML5
Function unknown	VOG26428	Hypothetical protein		
Function unknown	VOG26429	Uncharacterized protein ORF77		Y077_OSHVF
Function unknown	VOG26430	Hypothetical protein		
Function unknown	VOG26431	Hypothetical protein		
Function unknown	VOG26432	Hypothetical protein		
Function unknown	VOG26433	Hypothetical protein		
Function unknown	VOG26434	Hypothetical protein		
Function unknown	VOG26435	Hypothetical protein		
Function unknown	VOG26436	Hypothetical protein		
Function unknown	VOG26437	Hypothetical protein		
Function unknown	VOG26438	Phosphofructokinase		
Function unknown	VOG26439	Hypothetical protein		
Function unknown	VOG26440	Hypothetical protein		
Function unknown	VOG26441	Hypothetical protein		
Function unknown	VOG26442	Hypothetical protein		
Function unknown	VOG26443	Hypothetical protein		
Function unknown	VOG26444	ATPase		
Function unknown	VOG26445	Hypothetical protein		
Function unknown	VOG26446	Hypothetical protein		
Function unknown	VOG26447	Hypothetical protein		
Function unknown	VOG26448	Hypothetical protein		
Function unknown	VOG26449	Hypothetical protein		
Function unknown	VOG26450	Hypothetical protein		
Function unknown	VOG26451	Endolysin		
Function unknown	VOG26452	Glycoprotein		
Function unknown	VOG26453	Hypothetical protein		
Function unknown	VOG26454	Hypothetical protein		
Function unknown	VOG26455	Hypothetical protein		
Function unknown	VOG26456	Hypothetical protein		
Function unknown	VOG26457	Hypothetical protein		
Function unknown	VOG26458	Hypothetical protein		
Function unknown	VOG26459	Holin		
Virus structure	VOG26460	Minor capsid protein P30		VP30_BPPRD
Function unknown	VOG26461	Hypothetical protein		
Function unknown	VOG26462	Hypothetical protein		
Function unknown	VOG26463	EsV-1-55		
Function unknown	VOG26464	Hypothetical protein		
Function unknown	VOG26465	Hypothetical protein		
Function unknown	VOG26466	Hypothetical protein		
Function unknown	VOG26467	CHC2 zinc finger protein		
Function unknown	VOG26468	Hypothetical protein		
Function unknown	VOG26469	Hypothetical protein		
Function unknown	VOG26470	Hypothetical protein		
Function unknown	VOG26471	FirrV-1-B41		
Function unknown	VOG26472	Hypothetical protein		
Function unknown	VOG26473	Hypothetical protein		
Function unknown	VOG26474	Eaf protein		VEAF_BPP22
Function unknown	VOG26475	Putative capsid protein		
Function unknown	VOG26476	Hypothetical protein		
Function unknown	VOG26477	Hypothetical protein		
Function unknown	VOG26478	Hypothetical protein		
Function unknown	VOG26479	Transcriptional regulator		
Function unknown	VOG26480	DNA primase		
Function unknown	VOG26481	Hypothetical protein		
Function unknown	VOG26482	Hypothetical protein		
Function unknown	VOG26483	Hypothetical protein		
Function unknown	VOG26484	Hypothetical protein		
Function unknown	VOG26485	Hypothetical protein		
Function unknown	VOG26486	Phosphoribosyl transferase		
Function unknown	VOG26487	Hypothetical protein		
Function unknown	VOG26488	Hypothetical protein		
Function unknown	VOG26489	Hypothetical protein		
Function unknown	VOG26490	Hypothetical protein		
Function unknown	VOG26491	Host specificity protein B		
Function unknown	VOG26492	Hypothetical protein		
Function unknown	VOG26493	Virion structural protein		
Virus protein with function beneficial for the host	VOG26494	Adenosylhomocysteinase		SAHH_AQUAE
Function unknown	VOG26495	Hypothetical protein		
Function unknown	VOG26496	Hypothetical protein		
Function unknown	VOG26497	Hypothetical protein		
Function unknown	VOG26498	Hypothetical protein		
Function unknown	VOG26499	Putative orfan		
Function unknown	VOG26500	Hypothetical protein		
Function unknown	VOG26501	Hypothetical protein		
Function unknown	VOG26502	Hypothetical protein		
Function unknown	VOG26503	Hypothetical protein		
Function unknown	VOG26504	T4 protein		VT4_SHEVN
Function unknown	VOG26505	Hypothetical protein		
Function unknown	VOG26506	Hypothetical protein		
Function unknown	VOG26507	Hypothetical protein		
Function unknown	VOG26508	Hypothetical protein		
Function unknown	VOG26509	Hypothetical protein		
Function unknown	VOG26510	Unknown similar to AMEV068		
Function unknown	VOG26511	Protein D-63		D63_SSV1
Function unknown	VOG26512	Hypothetical protein		
Function unknown	VOG26513	Hypothetical protein		
Virus protein with function beneficial for the host	VOG26514	Putative helicase L115		YL115_MIMIV
Function unknown	VOG26515	Hypothetical protein		
Function unknown	VOG26516	Hypothetical protein		
Function unknown	VOG26517	Hypothetical protein		
Function unknown	VOG26518	Hypothetical protein		
Function unknown	VOG26519	Hypothetical protein		
Function unknown	VOG26520	Hypothetical protein		
Function unknown	VOG26521	Hypothetical protein		
Function unknown	VOG26522	Hypothetical protein		
Function unknown	VOG26523	HNH endonuclease		
Function unknown	VOG26524	Hypothetical protein		
Function unknown	VOG26525	Hypothetical protein		
Function unknown	VOG26526	Hypothetical protein		
Function unknown	VOG26527	Hypothetical protein		
Function unknown	VOG26528	Tail fiber protein		
Function unknown	VOG26529	Hypothetical protein		
Function unknown	VOG26530	Hypothetical protein		
Function unknown	VOG26531	Hypothetical protein		
Function unknown	VOG26532	Hypothetical protein		
Function unknown	VOG26533	Hypothetical protein		
Function unknown	VOG26534	Hypothetical protein		
Function unknown	VOG26535	Arginase-like amidino hydrolase		
Function unknown	VOG26536	Putative orfan		
Function unknown	VOG26537	Hypothetical protein		
Function unknown	VOG26538	Hypothetical protein		
Function unknown	VOG26539	Hypothetical protein		
Function unknown	VOG26540	Hypothetical protein		
Function unknown	VOG26541	Hypothetical protein		
Function unknown	VOG26542	AV2 protein		
Function unknown	VOG26543	Hypothetical protein		
Function unknown	VOG26544	Hypothetical protein		
Function unknown	VOG26545	Protein P4		P4_RTBVP
Function unknown	VOG26546	Hypothetical protein		
Function unknown	VOG26547	Hypothetical protein		
Function unknown	VOG26548	Hypothetical protein		
Function unknown	VOG26549	Hypothetical protein		
Function unknown	VOG26550	Hypothetical protein		
Virus protein with function beneficial for the host	VOG26551	GMP reductase		GMPR_ONCVO
Function unknown	VOG26552	Gp080		
Function unknown	VOG26553	Hypothetical protein		
Function unknown	VOG26554	Hypothetical protein		
Function unknown	VOG26555	Hypothetical protein		
Function unknown	VOG26556	Hypothetical protein		
Function unknown	VOG26557	Hypothetical protein		
Function unknown	VOG26558	Hypothetical protein		
Function unknown	VOG26559	Hypothetical protein		
Function unknown	VOG26560	Hypothetical protein		
Function unknown	VOG26561	Hypothetical protein		
Function unknown	VOG26562	Hypothetical protein		
Virus structure	VOG26563	Virion morphogenesis protein OPG132		PG132_MONPV
Function unknown	VOG26564	Major head protein		
Function unknown	VOG26565	Hypothetical protein		
Function unknown	VOG26566	Hypothetical protein		
Function unknown	VOG26567	Hypothetical protein		
Function unknown	VOG26568	Hypothetical protein		
Function unknown	VOG26569	Hypothetical protein		
Function unknown	VOG26570	Hypothetical protein		
Function unknown	VOG26571	Hypothetical protein		
Function unknown	VOG26572	Hypothetical protein		
Function unknown	VOG26573	Hypothetical protein		
Function unknown	VOG26574	Uncharacterized protein ORF49		Y049_OSHVF
Function unknown	VOG26575	Hypothetical protein		
Function unknown	VOG26576	Hypothetical protein		
Function unknown	VOG26577	Hypothetical protein		
Function unknown	VOG26578	Hypothetical protein		
Function unknown	VOG26579	Hypothetical protein		
Function unknown	VOG26580	Hypothetical protein		
Function unknown	VOG26581	Hypothetical protein		
Function unknown	VOG26582	Hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG26583	Gag-Pol polyprotein		POL_MLVRD
Function unknown	VOG26584	Hypothetical protein		
Function unknown	VOG26585	Hypothetical protein		
Function unknown	VOG26586	Hypothetical protein		
Function unknown	VOG26587	Hypothetical protein		
Function unknown	VOG26588	Hypothetical protein		
Function unknown	VOG26589	Hypothetical protein		
Function unknown	VOG26590	Hypothetical protein		
Function unknown	VOG26591	Hypothetical protein		
Function unknown	VOG26592	Hypothetical protein		
Function unknown	VOG26593	Hypothetical protein		
Function unknown	VOG26594	Hypothetical protein		
Function unknown	VOG26595	Hypothetical protein		
Function unknown	VOG26596	Hypothetical protein		
Function unknown	VOG26597	Hypothetical protein		
Function unknown	VOG26598	DarB-like antirestriction		
Function unknown	VOG26599	Hypothetical protein		
Function unknown	VOG26600	Putative uncharacterized protein ORF64		Y64_LAMBD
Function unknown	VOG26601	Hypothetical protein		
Function unknown	VOG26602	Hypothetical protein		
Function unknown	VOG26603	Hypothetical protein		
Function unknown	VOG26604	Hypothetical protein		
Function unknown	VOG26605	Hypothetical protein		
Function unknown	VOG26606	Hypothetical protein		
Function unknown	VOG26607	Hypothetical protein		
Function unknown	VOG26608	Hypothetical protein		
Function unknown	VOG26609	Hypothetical protein		
Function unknown	VOG26610	Polymerase		
Function unknown	VOG26611	Hypothetical protein		
Function unknown	VOG26612	Hypothetical protein		
Function unknown	VOG26613	Hypothetical protein		
Function unknown	VOG26614	Hypothetical protein		
Function unknown	VOG26615	Hypothetical protein		
Function unknown	VOG26616	Hypothetical protein		
Function unknown	VOG26617	Hypothetical protein		
Function unknown	VOG26618	Hypothetical protein		
Function unknown	VOG26619	Hypothetical protein		
Function unknown	VOG26620	EaA protein		
Function unknown	VOG26621	Hypothetical protein		
Function unknown	VOG26622	Hypothetical protein		
Virus replication | Virus structure	VOG26623	Nucleoprotein		NCAP_MILVL
Function unknown	VOG26624	Hypothetical protein		
Function unknown	VOG26625	Hypothetical protein		
Function unknown	VOG26626	Hypothetical protein		
Function unknown	VOG26627	Hypothetical protein		
Function unknown	VOG26628	Hypothetical protein		
Function unknown	VOG26629	Hypothetical protein		
Function unknown	VOG26630	Uncharacterized 10.8 kDa protein in Gp30-rIII intergenic region		Y12K_BPT4
Function unknown	VOG26631	Hypothetical protein		
Function unknown	VOG26632	Hypothetical protein		
Function unknown	VOG26633	Putative PspA/IM30 family protein		
Function unknown	VOG26634	Putative tail needle protein, P22_gp26-like		
Function unknown	VOG26635	Hypothetical protein		
Function unknown	VOG26636	Hypothetical protein		
Function unknown	VOG26637	Hypothetical protein		
Function unknown	VOG26638	Hypothetical protein		
Function unknown	VOG26639	Hypothetical protein		
Function unknown	VOG26640	Hypothetical protein		
Function unknown	VOG26641	Hypothetical protein		
Function unknown	VOG26642	Hypothetical protein		
Function unknown	VOG26643	Hypothetical protein		
Function unknown	VOG26644	Hypothetical protein		
Function unknown	VOG26645	Hypothetical protein		
Function unknown	VOG26646	Hypothetical protein		
Function unknown	VOG26647	Hypothetical protein		
Function unknown	VOG26648	Hypothetical protein		
Function unknown	VOG26649	Hypothetical protein		
Function unknown	VOG26650	Hypothetical protein		
Function unknown	VOG26651	Hypothetical protein		
Function unknown	VOG26652	Hypothetical protein		
Function unknown	VOG26653	Hypothetical protein		
Function unknown	VOG26654	Similar to CG3838 gene product		
Function unknown	VOG26655	Hypothetical protein		
Function unknown	VOG26656	Hypothetical protein		
Function unknown	VOG26657	Hypothetical protein		
Function unknown	VOG26658	Hypothetical protein		
Function unknown	VOG26659	Hypothetical protein		
Function unknown	VOG26660	Hypothetical protein		
Function unknown	VOG26661	Hypothetical protein		
Function unknown	VOG26662	Hypothetical protein		
Function unknown	VOG26663	Hypothetical protein		
Function unknown	VOG26664	Hypothetical protein		
Function unknown	VOG26665	Hypothetical protein		
Function unknown	VOG26666	Hypothetical protein		
Function unknown	VOG26667	Hypothetical protein		
Function unknown	VOG26668	Hypothetical protein		
Function unknown	VOG26669	Hypothetical protein		
Function unknown	VOG26670	Hypothetical protein		
Function unknown	VOG26671	Hypothetical protein		
Function unknown	VOG26672	Gp221		
Function unknown	VOG26673	Hypothetical protein		
Function unknown	VOG26674	Hypothetical protein		
Function unknown	VOG26675	Hypothetical protein		
Function unknown	VOG26676	Hypothetical protein		
Function unknown	VOG26677	Hypothetical protein		
Function unknown	VOG26678	Hypothetical protein		
Function unknown	VOG26679	Hypothetical protein		
Virus structure	VOG26680	Putative movement protein		MVP_FBNY2
Function unknown	VOG26681	Hypothetical protein		
Function unknown	VOG26682	Putative orfan		
Function unknown	VOG26683	Hypothetical protein		
Function unknown	VOG26684	Hypothetical protein		
Function unknown	VOG26685	Hypothetical protein		
Function unknown	VOG26686	Hypothetical protein		
Function unknown	VOG26687	Hypothetical protein		
Function unknown	VOG26688	Hypothetical protein		
Function unknown	VOG26689	Hypothetical protein		
Function unknown	VOG26690	Unknown similar to AMEV098		
Function unknown	VOG26691	Membrane protein		
Function unknown	VOG26692	Hypothetical protein		
Function unknown	VOG26693	Tail assembly chaperone		
Function unknown	VOG26694	Hypothetical protein		
Function unknown	VOG26695	Tellurite resistance		
Function unknown	VOG26696	Gp51		
Function unknown	VOG26697	Hypothetical protein		
Function unknown	VOG26698	Hypothetical protein		
Function unknown	VOG26699	Hypothetical protein		
Function unknown	VOG26700	Hypothetical protein		
Function unknown	VOG26701	Hypothetical protein		
Function unknown	VOG26702	Putative orfan		
Function unknown	VOG26703	Gp82		
Function unknown	VOG26704	EsV-1-158		
Function unknown	VOG26705	Hypothetical protein		
Function unknown	VOG26706	Hypothetical protein		
Function unknown	VOG26707	Hypothetical protein		
Function unknown	VOG26708	Hypothetical protein		
Function unknown	VOG26709	Hypothetical protein		
Virus protein with function beneficial for the host	VOG26710	Gene product 19		GP19_BPLC2
Virus protein with function beneficial for the host | Virus replication	VOG26711	DNA-directed DNA polymerase		DPOL_BPKVM
Function unknown	VOG26712	Hypothetical protein		
Function unknown	VOG26713	Gp52		
Function unknown	VOG26714	Hypothetical protein		
Function unknown	VOG26715	Hypothetical protein		
Function unknown	VOG26716	Hypothetical protein		
Function unknown	VOG26717	Hypothetical protein		
Function unknown	VOG26718	Membrane protein		
Function unknown	VOG26719	Minor tail protein		
Function unknown	VOG26720	Hypothetical protein		
Function unknown	VOG26721	Hypothetical protein		
Function unknown	VOG26722	Gp27.6		
Function unknown	VOG26723	Hypothetical protein		
Function unknown	VOG26724	Hypothetical protein		
Function unknown	VOG26725	Hypothetical protein		
Function unknown	VOG26726	Hypothetical protein		
Function unknown	VOG26727	TMhelix containing protein		
Function unknown	VOG26728	Hypothetical protein		
Virus protein with function beneficial for the host	VOG26729	Rqc2 homolog RqcH		RQCH_BACNB
Function unknown	VOG26730	Hypothetical protein		
Function unknown	VOG26731	Hypothetical protein		
Function unknown	VOG26732	Hypothetical protein		
Function unknown	VOG26733	Hypothetical protein		
Function unknown	VOG26734	Hypothetical protein		
Function unknown	VOG26735	Hypothetical protein		
Function unknown	VOG26736	Hypothetical protein		
Function unknown	VOG26737	Hypothetical protein		
Function unknown	VOG26738	ECRF4		
Function unknown	VOG26739	Hypothetical protein		
Function unknown	VOG26740	Hypothetical protein		
Function unknown	VOG26741	Hypothetical protein		
Function unknown	VOG26742	Hypothetical protein		
Virus protein with function beneficial for the host	VOG26743	Green fluorescent protein		GFP_AEQVI
Function unknown	VOG26744	Hypothetical protein		
Function unknown	VOG26745	Hypothetical protein		
Function unknown	VOG26746	Hypothetical protein		
Function unknown	VOG26747	Hypothetical protein		
Function unknown	VOG26748	Hypothetical protein		
Function unknown	VOG26749	Methyltransferase		
Function unknown	VOG26750	Hypothetical protein		
Function unknown	VOG26751	Gp02		
Function unknown	VOG26752	Hypothetical protein		
Function unknown	VOG26753	Tail fiber protein		
Function unknown	VOG26754	Glycosyl transferase		
Function unknown	VOG26755	Hypothetical protein		
Function unknown	VOG26756	Hypothetical protein		
Virus structure	VOG26757	Uncharacterized protein R345		YR345_MIMIV
Function unknown	VOG26758	Protein ORF35		
Function unknown	VOG26759	Hypothetical protein		
Function unknown	VOG26760	Hypothetical protein		
Function unknown	VOG26761	Hypothetical protein		
Function unknown	VOG26762	Uncharacterized protein 115R		VF342_IIV3
Function unknown	VOG26763	Hypothetical protein		
Function unknown	VOG26764	Hypothetical protein		
Function unknown	VOG26765	Hypothetical protein		
Function unknown	VOG26766	Hypothetical protein		
Function unknown	VOG26767	Hypothetical protein		
Function unknown	VOG26768	Hypothetical protein		
Function unknown	VOG26769	Hypothetical protein		
Function unknown	VOG26770	Hypothetical protein		
Function unknown	VOG26771	Hypothetical protein		
Function unknown	VOG26772	Hypothetical protein		
Function unknown	VOG26773	Minor tail protein		
Function unknown	VOG26774	Hypothetical protein		
Function unknown	VOG26775	Tail assembly chaperone		
Function unknown	VOG26776	Hypothetical protein		
Function unknown	VOG26777	Hypothetical protein		
Function unknown	VOG26778	Hypothetical protein		
Function unknown	VOG26779	Hypothetical protein		
Function unknown	VOG26780	Uncharacterized protein L361		YL361_MIMIV
Function unknown	VOG26781	Hypothetical protein		
Function unknown	VOG26782	Hypothetical protein		
Function unknown	VOG26783	Hypothetical protein		
Function unknown	VOG26784	Hypothetical protein		
Function unknown	VOG26785	Hypothetical protein		
Function unknown	VOG26786	Hypothetical protein		
Function unknown	VOG26787	Hypothetical protein		
Function unknown	VOG26788	Hypothetical protein		
Function unknown	VOG26789	Hypothetical protein		
Function unknown	VOG26790	Virion structural protein		
Function unknown	VOG26791	Hypothetical protein		
Function unknown	VOG26792	Holin/anti-holin		
Function unknown	VOG26793	Hypothetical protein		
Function unknown	VOG26794	Hypothetical protein		
Function unknown	VOG26795	Hypothetical protein		
Function unknown	VOG26796	Gp038		
Function unknown	VOG26797	Hypothetical protein		
Function unknown	VOG26798	Hypothetical protein		
Virus protein with function beneficial for the host	VOG26799	Gene product 16.9		GP169_BPPH2
Function unknown	VOG26800	Hypothetical protein		
Function unknown	VOG26801	Tail length tape measure protein		
Function unknown	VOG26802	Hypothetical protein		
Function unknown	VOG26803	Hypothetical protein		
Function unknown	VOG26804	Hypothetical protein		
Function unknown	VOG26805	Hypothetical protein		
Function unknown	VOG26806	Hypothetical protein		
Function unknown	VOG26807	Hypothetical protein		
Function unknown	VOG26808	Hypothetical protein		
Function unknown	VOG26809	Uncharacterized protein 002L		002L_FRG3G
Function unknown	VOG26810	Uncharacterized protein X		X_PAVHV
Function unknown	VOG26811	Hypothetical protein		
Function unknown	VOG26812	Hypothetical protein		
Function unknown	VOG26813	Hypothetical protein		
Function unknown	VOG26814	Hypothetical protein		
Function unknown	VOG26815	Hypothetical protein		
Function unknown	VOG26816	Hypothetical protein		
Function unknown	VOG26817	Hypothetical protein		
Function unknown	VOG26818	Hypothetical protein		
Function unknown	VOG26819	SPbeta prophage-derived uncharacterized protein YonP		YONP_BACSU
Function unknown	VOG26820	Uncharacterized 8.5 kDa protein in GP2-GP6 intergenic region		YOR3_BPSPP
Virus replication	VOG26821	Cell cycle link protein		CLINK_BBTVA
Function unknown	VOG26822	Hypothetical protein		
Function unknown	VOG26823	Hypothetical protein		
Function unknown	VOG26824	Hypothetical protein		
Function unknown	VOG26825	Hypothetical protein		
Function unknown	VOG26826	Hypothetical protein		
Function unknown	VOG26827	Hypothetical protein		
Function unknown	VOG26828	Hypothetical protein		
Function unknown	VOG26829	Hypothetical protein		
Function unknown	VOG26830	Hypothetical protein		
Virus replication	VOG26831	Excisionase		VXIS_BPL54
Function unknown	VOG26832	Hypothetical protein		
Function unknown	VOG26833	Hypothetical protein		
Function unknown	VOG26834	Hypothetical protein		
Function unknown	VOG26835	Hypothetical protein		
Function unknown	VOG26836	Hypothetical protein		
Function unknown	VOG26837	Hypothetical protein		
Function unknown	VOG26838	Hypothetical protein		
Function unknown	VOG26839	Hypothetical protein		
Function unknown	VOG26840	Hypothetical protein		
Function unknown	VOG26841	Hypothetical protein		
Function unknown	VOG26842	Hypothetical protein		
Function unknown	VOG26843	Hypothetical protein		
Function unknown	VOG26844	Hypothetical protein		
Function unknown	VOG26845	Hypothetical protein		
Function unknown	VOG26846	Hypothetical protein		
Function unknown	VOG26847	Hypothetical protein		
Function unknown	VOG26848	Methyltransferase type 11		
Virus structure	VOG26849	Major capsid protein 2		CAPS2_SIFVH
Function unknown	VOG26850	Hypothetical protein		
Function unknown	VOG26851	Panton-Valentine leukocicin		
Function unknown	VOG26852	Hypothetical protein		
Function unknown	VOG26853	Hypothetical protein		
Function unknown	VOG26854	Hypothetical protein		
Function unknown	VOG26855	Hypothetical protein		
Function unknown	VOG26856	Hypothetical protein		
Function unknown	VOG26857	Uncharacterized protein ORF35		Y035_HIS1I
Virus protein with function beneficial for the host | Virus replication	VOG26858	Genome polyprotein		POLG_SMSV1
Function unknown	VOG26859	Hypothetical protein		
Function unknown	VOG26860	Hypothetical protein		
Function unknown	VOG26861	Hypothetical protein		
Function unknown	VOG26862	Leucin rich repeat domain containing protein		
Function unknown	VOG26863	Hypothetical protein		
Function unknown	VOG26864	Hypothetical protein		
Function unknown	VOG26865	Hypothetical protein		
Function unknown	VOG26866	Hypothetical protein		
Function unknown	VOG26867	Hypothetical protein		
Function unknown	VOG26868	Hypothetical protein		
Function unknown	VOG26869	Hypothetical protein		
Function unknown	VOG26870	Hypothetical protein		
Function unknown	VOG26871	Hypothetical protein		
Function unknown	VOG26872	Hypoxanthine phosphoribosyltransferase		
Function unknown	VOG26873	Hypothetical protein		
Function unknown	VOG26874	Hypothetical protein		
Function unknown	VOG26875	Hypothetical protein		
Function unknown	VOG26876	Hypothetical protein		
Function unknown	VOG26877	Virion structural protein		
Function unknown	VOG26878	Hypothetical protein		
Function unknown	VOG26879	Hypothetical protein		
Function unknown	VOG26880	Hypothetical protein		
Function unknown	VOG26881	056R		
Function unknown	VOG26882	Hypothetical protein		
Function unknown	VOG26883	Hypothetical protein		
Function unknown	VOG26884	Hypothetical protein		
Function unknown	VOG26885	Hypothetical protein		
Function unknown	VOG26886	Hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG26887	RNA-directed RNA polymerase		RDRP_SJNNV
Function unknown	VOG26888	Hypothetical protein		
Function unknown	VOG26889	Hypothetical protein		
Function unknown	VOG26890	Hypothetical protein		
Function unknown	VOG26891	Hypothetical protein		
Function unknown	VOG26892	Hypothetical protein		
Function unknown	VOG26893	Hypothetical protein		
Function unknown	VOG26894	Hypothetical protein		
Function unknown	VOG26895	Hypothetical protein		
Function unknown	VOG26896	Hypothetical protein		
Function unknown	VOG26897	Hypothetical protein		
Function unknown	VOG26898	Hypothetical protein		
Function unknown	VOG26899	Hypothetical protein		
Function unknown	VOG26900	BLRF1		
Function unknown	VOG26901	Hypothetical protein		
Function unknown	VOG26902	Membrane protein		
Function unknown	VOG26903	Hypothetical protein		
Function unknown	VOG26904	Hypothetical protein		
Function unknown	VOG26905	Hypothetical protein		
Function unknown	VOG26906	Structural protein		
Function unknown	VOG26907	Membrane protein ORF139		
Function unknown	VOG26908	Hypothetical protein		
Function unknown	VOG26909	Hypothetical protein		
Function unknown	VOG26910	Hypothetical protein		
Function unknown	VOG26911	Hypothetical protein		
Function unknown	VOG26912	Hypothetical protein		
Function unknown	VOG26913	Hypothetical protein		
Function unknown	VOG26914	Hypothetical protein		
Function unknown	VOG26915	Hypothetical protein		
Function unknown	VOG26916	Hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG26917	Retron Ec48 reverse transcriptase		RT48_ECOLX
Virus protein with function beneficial for the host	VOG26918	Adenylosuccinate lyase		PUR8_VIBC3
Function unknown	VOG26919	Hypothetical protein		
Function unknown	VOG26920	Hypothetical protein		
Function unknown	VOG26921	Hypothetical protein		
Function unknown	VOG26922	Hypothetical protein		
Function unknown	VOG26923	Hypothetical protein		
Function unknown	VOG26924	Hypothetical protein		
Function unknown	VOG26925	Hypothetical protein		
Function unknown	VOG26926	Hypothetical protein		
Function unknown	VOG26927	Hypothetical protein		
Function unknown	VOG26928	Hypothetical protein		
Function unknown	VOG26929	Hypothetical protein		
Function unknown	VOG26930	Hypothetical protein		
