L1	KO	Function	EC
Function unknown	VOG25978	REFSEQ hypothetical protein	
Function unknown	VOG25979	REFSEQ hypothetical protein	
Function unknown	VOG25980	REFSEQ hypothetical protein	
Function unknown	VOG25981	REFSEQ hypothetical protein	
Function unknown	VOG25982	REFSEQ hypothetical protein	
Function unknown	VOG25983	REFSEQ hypothetical protein	
Function unknown	VOG25984	REFSEQ hypothetical protein	
Function unknown	VOG25985	REFSEQ hypothetical protein	
Virus replication | Virus structure	VOG25986	sp|O73571|MVP_SBMVA Movement protein P1	
Function unknown	VOG25987	REFSEQ hypothetical protein	
Function unknown	VOG25988	REFSEQ hypothetical protein	
Function unknown	VOG25989	REFSEQ hypothetical protein	
Function unknown	VOG25990	REFSEQ hypothetical protein	
Function unknown	VOG25991	REFSEQ hypothetical protein	
Function unknown	VOG25992	REFSEQ hypothetical protein	
Function unknown	VOG25993	REFSEQ hypothetical protein	
Function unknown	VOG25994	REFSEQ hypothetical protein	
Function unknown	VOG25995	REFSEQ hypothetical protein	
Function unknown	VOG25996	REFSEQ hypothetical protein	
Function unknown	VOG25997	REFSEQ hypothetical protein	
Function unknown	VOG25998	REFSEQ hypothetical protein	
Function unknown	VOG25999	REFSEQ hypothetical protein	
Function unknown	VOG26000	REFSEQ hypothetical protein	
Function unknown	VOG26001	REFSEQ hypothetical protein	
Function unknown	VOG26002	REFSEQ hypothetical protein	
Function unknown	VOG26003	REFSEQ hypothetical protein	
Function unknown	VOG26004	REFSEQ hypothetical protein	
Function unknown	VOG26005	REFSEQ hypothetical protein	
Function unknown	VOG26006	REFSEQ hypothetical protein	
Function unknown	VOG26007	REFSEQ hypothetical protein	
Function unknown	VOG26008	REFSEQ hypothetical protein	
Function unknown	VOG26009	REFSEQ hypothetical protein	
Function unknown	VOG26010	REFSEQ hypothetical protein	
Function unknown	VOG26011	REFSEQ hypothetical protein	
Function unknown	VOG26012	REFSEQ hypothetical protein	
Function unknown	VOG26013	REFSEQ hypothetical protein	
Function unknown	VOG26014	REFSEQ hypothetical protein	
Function unknown	VOG26015	REFSEQ hypothetical protein	
Function unknown	VOG26016	REFSEQ hypothetical protein	
Function unknown	VOG26017	REFSEQ hypothetical protein	
Function unknown	VOG26018	REFSEQ hypothetical protein	
Function unknown	VOG26019	REFSEQ hypothetical protein	
Function unknown	VOG26020	REFSEQ hypothetical protein	
Function unknown	VOG26021	REFSEQ hypothetical protein	
Function unknown	VOG26022	REFSEQ hypothetical protein	
Function unknown	VOG26023	REFSEQ hypothetical protein	
Function unknown	VOG26024	REFSEQ hypothetical protein	
Function unknown	VOG26025	REFSEQ hypothetical protein	
Function unknown	VOG26026	REFSEQ hypothetical protein	
Function unknown	VOG26027	REFSEQ protein with Ig domain	
Function unknown	VOG26028	REFSEQ hypothetical protein	
Function unknown	VOG26029	REFSEQ hypothetical protein	
Function unknown	VOG26030	REFSEQ hypothetical protein	
Function unknown	VOG26031	REFSEQ hypothetical protein	
Function unknown	VOG26032	REFSEQ hypothetical protein	
Function unknown	VOG26033	REFSEQ hypothetical protein	
Function unknown	VOG26034	REFSEQ hypothetical protein	
Function unknown	VOG26035	REFSEQ hypothetical protein	
Function unknown	VOG26036	REFSEQ hypothetical protein	
Function unknown	VOG26037	REFSEQ hypothetical protein	
Function unknown	VOG26038	REFSEQ hypothetical protein	
Function unknown	VOG26039	REFSEQ hypothetical protein	
Function unknown	VOG26040	REFSEQ hypothetical protein	
Function unknown	VOG26041	REFSEQ hypothetical protein	
Function unknown	VOG26042	REFSEQ hypothetical protein	
Function unknown	VOG26043	REFSEQ hypothetical protein	
Function unknown	VOG26044	REFSEQ hypothetical protein	
Function unknown	VOG26045	REFSEQ gp20	
Function unknown	VOG26046	REFSEQ hypothetical protein	
Function unknown	VOG26047	REFSEQ hypothetical protein	
Function unknown	VOG26048	REFSEQ hypothetical protein	
Virus structure	VOG26049	sp|P18474|POL2_GFLV RNA2 polyprotein	
Virus structure	VOG26050	sp|P25247|POL2_TORVR RNA2 polyprotein	
Function unknown	VOG26051	sp|P68828|B1_BBV Protein B1	
Function unknown	VOG26052	REFSEQ alpha2 protein	
Function unknown	VOG26053	REFSEQ hypothetical protein	
Function unknown	VOG26054	REFSEQ hypothetical protein	
Function unknown	VOG26055	REFSEQ head-tail adaptor Ad1	
Function unknown	VOG26056	REFSEQ hypothetical protein	
Function unknown	VOG26057	REFSEQ hypothetical protein	
Function unknown	VOG26058	REFSEQ DUF4875 domain-containing protein	
Function unknown	VOG26059	REFSEQ tail fiber protein	
Function unknown	VOG26060	REFSEQ hypothetical protein	
Function unknown	VOG26061	REFSEQ AB1gp14	
Function unknown	VOG26062	REFSEQ hypothetical protein	
Function unknown	VOG26063	REFSEQ endolysin	
Function unknown	VOG26064	REFSEQ hypothetical protein	
Function unknown	VOG26065	REFSEQ hypothetical protein	
Function unknown	VOG26066	REFSEQ hypothetical protein	
Function unknown	VOG26067	sp|P36353|VNS5_MSTV Non-structural protein NS5	
Function unknown	VOG26068	REFSEQ hypothetical protein	
Function unknown	VOG26069	REFSEQ head completion protein	
Function unknown	VOG26070	REFSEQ acetyl-CoA acetyltransferase	
Function unknown	VOG26071	REFSEQ hypothetical protein	
Function unknown	VOG26072	REFSEQ hypothetical protein	
Function unknown	VOG26073	REFSEQ hypothetical protein	
Function unknown	VOG26074	REFSEQ hypothetical protein	
Function unknown	VOG26075	REFSEQ hypothetical protein	
Function unknown	VOG26076	REFSEQ hypothetical protein	
Function unknown	VOG26077	sp|O31958|YOMZ_BACSU SPbeta prophage-derived uncharacterized protein YomZ	
Function unknown	VOG26078	sp|O31957|YONA_BACSU SPbeta prophage-derived uncharacterized protein YonA	
Function unknown	VOG26079	sp|O31956|YONB_BACSU SPbeta prophage-derived uncharacterized protein YonB	
Function unknown	VOG26080	sp|O31955|YONC_BACSU SPbeta prophage-derived uncharacterized protein YonC	
Function unknown	VOG26081	REFSEQ hypothetical protein	
Function unknown	VOG26082	REFSEQ hypothetical protein	
Function unknown	VOG26083	REFSEQ hypothetical protein	
Function unknown	VOG26084	REFSEQ hypothetical protein	
Function unknown	VOG26085	REFSEQ hypothetical protein	
Function unknown	VOG26086	REFSEQ hypothetical protein	
Function unknown	VOG26087	REFSEQ hypothetical protein	
Function unknown	VOG26088	REFSEQ E4	
Function unknown	VOG26089	REFSEQ hypothetical protein	
Function unknown	VOG26090	REFSEQ hypothetical protein	
Function unknown	VOG26091	REFSEQ hypothetical protein	
Function unknown	VOG26092	REFSEQ hypothetical protein	
Function unknown	VOG26093	REFSEQ hypothetical protein	
Function unknown	VOG26094	REFSEQ hypothetical protein	
Function unknown	VOG26095	REFSEQ hypothetical protein	
Function unknown	VOG26096	REFSEQ hypothetical protein	
Function unknown	VOG26097	REFSEQ hypothetical protein	
Function unknown	VOG26098	REFSEQ hypothetical protein	
Function unknown	VOG26099	REFSEQ hypothetical protein	
Function unknown	VOG26100	REFSEQ Molybdopterin guanine dinucleotide synthesis protein B	
Function unknown	VOG26101	sp|A8Y986|AGNO_POVSM Squirrel monkey agnoprotein	
Function unknown	VOG26102	REFSEQ hypothetical protein	
Function unknown	VOG26103	REFSEQ hypothetical protein	
Function unknown	VOG26104	REFSEQ hypothetical protein	
Function unknown	VOG26105	REFSEQ hypothetical protein	
Function unknown	VOG26106	REFSEQ hypothetical protein	
Function unknown	VOG26107	REFSEQ hypothetical protein	
Function unknown	VOG26108	REFSEQ hypothetical protein	
Function unknown	VOG26109	REFSEQ hypothetical protein	
Function unknown	VOG26110	REFSEQ hypothetical protein	
Function unknown	VOG26111	REFSEQ hypothetical protein	
Function unknown	VOG26112	REFSEQ hypothetical protein	
Function unknown	VOG26113	REFSEQ ORF2	
Function unknown	VOG26114	REFSEQ hypothetical protein	
Function unknown	VOG26115	REFSEQ hypothetical protein	
Function unknown	VOG26116	REFSEQ lipoprotein	
Function unknown	VOG26117	REFSEQ hypothetical protein	
Function unknown	VOG26118	REFSEQ hypothetical protein	
Function unknown	VOG26119	sp|Q6R7I4|Y040_OSHVF Uncharacterized protein ORF40	
Function unknown	VOG26120	sp|Q6R7D8|Y091_OSHVF Uncharacterized protein ORF91	
Function unknown	VOG26121	sp|Q6R7D6|Y093_OSHVF Uncharacterized protein ORF93	
Function unknown	VOG26122	sp|Q6R7D5|Y094_OSHVF Uncharacterized protein ORF94	
Function unknown	VOG26123	sp|Q6R7E7|Y082_OSHVF Uncharacterized protein ORF82	
Function unknown	VOG26124	sp|Q6R7E8|Y081_OSHVF Uncharacterized protein ORF81	
Function unknown	VOG26125	sp|Q6R7H3|Y052_OSHVF Uncharacterized protein ORF52	
Function unknown	VOG26126	sp|Q6R7H2|Y053_OSHVF Uncharacterized protein ORF53	
Function unknown	VOG26127	sp|Q6R7B1|Y115_OSHVF Uncharacterized protein ORF115	
Function unknown	VOG26128	sp|Q6R7G6|Y059_OSHVF Uncharacterized protein ORF59	
Function unknown	VOG26129	sp|Q6R7H7|Y047_OSHVF Uncharacterized protein ORF47	
Function unknown	VOG26130	sp|Q6R7H5|Y049_OSHVF Uncharacterized protein ORF49	
Function unknown	VOG26131	sp|Q6R7J5|Y028_OSHVF Uncharacterized protein ORF28	
Function unknown	VOG26132	sp|Q6R7H8|Y046_OSHVF Uncharacterized protein ORF46	
Function unknown	VOG26133	sp|Q6R7J3|Y030_OSHVF Uncharacterized protein ORF30	
Function unknown	VOG26134	REFSEQ hypothetical protein	
Function unknown	VOG26135	sp|Q6R7G1|Y067_OSHVF Uncharacterized protein ORF67	
Function unknown	VOG26136	sp|Q6R7F2|Y077_OSHVF Uncharacterized protein ORF77	
Function unknown	VOG26137	sp|Q6R7D4|Y095_OSHVF Uncharacterized protein ORF95	
Function unknown	VOG26138	sp|Q6R7K1|Y022_OSHVF Uncharacterized protein ORF22	
Function unknown	VOG26139	sp|Q6R7G4|Y061_OSHVF Uncharacterized protein ORF61	
Function unknown	VOG26140	sp|Q6R7F7|Y071_OSHVF Uncharacterized protein ORF71	
Function unknown	VOG26141	sp|Q6R7C5|Y104_OSHVF Uncharacterized protein ORF104	
Function unknown	VOG26142	sp|Q6R7I1|Y043_OSHVF Uncharacterized protein ORF43	
Function unknown	VOG26143	sp|Q6R7B6|Y114_OSHVF Uncharacterized protein ORF114	
Function unknown	VOG26144	sp|Q6R7D3|Y096_OSHVF Putative RING finger protein ORF96	
Function unknown	VOG26145	sp|Q6R7C3|Y107_OSHVF Uncharacterized protein ORF107	
Function unknown	VOG26146	sp|Q6R7E0|Y089_OSHVF Uncharacterized protein ORF89	
Function unknown	VOG26147	sp|Q6R7B8|Y112_OSHVF Uncharacterized protein ORF112	
Function unknown	VOG26148	sp|Q6R7B9|Y111_OSHVF Putative transmembrane protein ORF111	
Function unknown	VOG26149	sp|Q6R7G8|Y057_OSHVF Putative transmembrane protein ORF57	
Virus protein with function beneficial for the host | Virus replication	VOG26150	sp|Q6R7C9|DPOL_OSHVF DNA polymerase	
Function unknown	VOG26151	sp|Q6R7C6|Y103_OSHVF Putative transmembrane protein ORF103	
Function unknown	VOG26152	sp|Q6R7C7|Y102_OSHVF Uncharacterized protein ORF102	
Function unknown	VOG26153	sp|Q6R7B7|Y113_OSHVF Uncharacterized protein ORF113	
Function unknown	VOG26154	sp|Q6R7F3|Y076_OSHVF Uncharacterized protein ORF76	
Function unknown	VOG26155	sp|Q6R7G3|Y064_OSHVF Uncharacterized protein ORF64	
Function unknown	VOG26156	sp|Q6R7G7|Y058_OSHVF Uncharacterized protein ORF58	
Function unknown	VOG26157	sp|Q6R7J8|Y025_OSHVF Putative transmembrane protein ORF25	
Function unknown	VOG26158	sp|Q6R7J9|Y024_OSHVF Uncharacterized protein ORF24	
Function unknown	VOG26159	sp|Q6R7E4|Y085_OSHVF Uncharacterized protein ORF85	
Function unknown	VOG26160	sp|Q6R7F9|Y069_OSHVF Uncharacterized protein ORF69	
Function unknown	VOG26161	REFSEQ tail assembly chaperone	
Function unknown	VOG26162	REFSEQ tail protein	
Function unknown	VOG26163	REFSEQ alpha-delta fusion protein	
Function unknown	VOG26164	REFSEQ hypothetical protein	
Function unknown	VOG26165	REFSEQ hypothetical protein	
Function unknown	VOG26166	REFSEQ hypothetical protein	
Function unknown	VOG26167	REFSEQ hypothetical protein	
Function unknown	VOG26168	REFSEQ hypothetical protein	
Function unknown	VOG26169	REFSEQ hypothetical protein	
Function unknown	VOG26170	REFSEQ hypothetical protein	
Function unknown	VOG26171	REFSEQ hypothetical protein	
Function unknown	VOG26172	REFSEQ hypothetical protein	
Function unknown	VOG26173	REFSEQ hypothetical protein	
Function unknown	VOG26174	REFSEQ hypothetical protein	
Function unknown	VOG26175	REFSEQ hypothetical protein	
Function unknown	VOG26176	REFSEQ hypothetical protein	
Function unknown	VOG26177	REFSEQ low complexity protein	
Function unknown	VOG26178	REFSEQ Glycosyltransferase GTB-type domain-containing protein	
Function unknown	VOG26179	REFSEQ hypothetical protein	
Function unknown	VOG26180	REFSEQ hypothetical protein	
Function unknown	VOG26181	REFSEQ hypothetical protein	
Function unknown	VOG26182	REFSEQ hypothetical protein	
Function unknown	VOG26183	sp|Q5UQN9|YR449_MIMIV Uncharacterized protein R449	
Function unknown	VOG26184	sp|Q5UQQ1|YL451_MIMIV Uncharacterized protein L451	
Function unknown	VOG26185	REFSEQ DNA-directed RNA polymerase subunit B	
Function unknown	VOG26186	REFSEQ hypothetical protein	
Function unknown	VOG26187	REFSEQ hypothetical protein	
Function unknown	VOG26188	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG26189	sp|P03209|BRLF1_EBVB9 Replication and transcription activator	
Function unknown	VOG26190	REFSEQ hypothetical protein	
Function unknown	VOG26191	sp|Q9IG44|ORFC2_PICV Uncharacterized protein ORFC2	
Virus protein with function beneficial for the host | Virus structure	VOG26192	sp|P52368|CEP3_MUHVK Cytoplasmic envelopment protein 3	
Function unknown	VOG26193	REFSEQ e39	
Function unknown	VOG26194	REFSEQ e117	
Function unknown	VOG26195	REFSEQ e120.1	
Function unknown	VOG26196	REFSEQ hypothetical protein	
Function unknown	VOG26197	REFSEQ hypothetical protein	
Function unknown	VOG26198	REFSEQ hypothetical protein	
Function unknown	VOG26199	REFSEQ hypothetical protein	
Function unknown	VOG26200	REFSEQ hypothetical protein	
Function unknown	VOG26201	REFSEQ hypothetical protein	
Function unknown	VOG26202	REFSEQ hypothetical protein	
Function unknown	VOG26203	REFSEQ hypothetical protein	
Function unknown	VOG26204	REFSEQ putative pectate lyase	
Function unknown	VOG26205	REFSEQ hypothetical protein	
Function unknown	VOG26206	REFSEQ hypothetical protein	
Function unknown	VOG26207	REFSEQ hypothetical protein	
Function unknown	VOG26208	REFSEQ hypothetical protein	
Function unknown	VOG26209	REFSEQ hypothetical protein	
Function unknown	VOG26210	REFSEQ hypothetical protein	
Function unknown	VOG26211	REFSEQ hypothetical protein	
Function unknown	VOG26212	REFSEQ hypothetical protein	
Function unknown	VOG26213	REFSEQ hypothetical protein	
Function unknown	VOG26214	REFSEQ hypothetical protein	
Function unknown	VOG26215	REFSEQ hypothetical protein	
Function unknown	VOG26216	REFSEQ hypothetical protein	
Function unknown	VOG26217	REFSEQ hypothetical protein	
Function unknown	VOG26218	REFSEQ endolysin	
Function unknown	VOG26219	REFSEQ hypothetical protein	
Function unknown	VOG26220	REFSEQ chaperone protein HTPG domain	
Function unknown	VOG26221	REFSEQ hypothetical protein	
Function unknown	VOG26222	REFSEQ hypothetical protein	
Function unknown	VOG26223	REFSEQ hypothetical protein	
Function unknown	VOG26224	REFSEQ hypothetical protein	
Function unknown	VOG26225	REFSEQ hypothetical protein	
Function unknown	VOG26226	REFSEQ hypothetical protein	
Function unknown	VOG26227	REFSEQ hypothetical protein	
Function unknown	VOG26228	REFSEQ hypothetical protein	
Function unknown	VOG26229	REFSEQ hypothetical protein	
Function unknown	VOG26230	REFSEQ hypothetical protein	
Function unknown	VOG26231	REFSEQ hypothetical protein	
Function unknown	VOG26232	REFSEQ hypothetical protein	
Function unknown	VOG26233	REFSEQ hypothetical protein	
Function unknown	VOG26234	REFSEQ hypothetical protein	
Function unknown	VOG26235	REFSEQ hypothetical protein	
Function unknown	VOG26236	REFSEQ hypothetical protein	
Function unknown	VOG26237	REFSEQ hypothetical protein	
Function unknown	VOG26238	REFSEQ hypothetical protein	
Function unknown	VOG26239	REFSEQ hypothetical protein	
Function unknown	VOG26240	REFSEQ hypothetical protein	
Function unknown	VOG26241	REFSEQ hypothetical protein	
Function unknown	VOG26242	REFSEQ hypothetical protein	
Function unknown	VOG26243	REFSEQ hypothetical protein	
Function unknown	VOG26244	REFSEQ hypothetical protein	
Function unknown	VOG26245	REFSEQ hypothetical protein	
Function unknown	VOG26246	REFSEQ hypothetical protein	
Function unknown	VOG26247	REFSEQ hypothetical protein	
Function unknown	VOG26248	REFSEQ hypothetical protein	
Function unknown	VOG26249	REFSEQ hypothetical protein	
Function unknown	VOG26250	REFSEQ hypothetical protein	
Function unknown	VOG26251	REFSEQ hypothetical protein	
Function unknown	VOG26252	REFSEQ hypothetical protein	
Function unknown	VOG26253	REFSEQ hypothetical protein	
Function unknown	VOG26254	REFSEQ hypothetical protein	
Function unknown	VOG26255	REFSEQ hypothetical protein	
Function unknown	VOG26256	REFSEQ hypothetical protein	
Function unknown	VOG26257	REFSEQ hypothetical protein	
Function unknown	VOG26258	REFSEQ hypothetical protein	
Function unknown	VOG26259	REFSEQ hypothetical protein	
Function unknown	VOG26260	REFSEQ hypothetical protein	
Function unknown	VOG26261	REFSEQ hypothetical protein	
Function unknown	VOG26262	REFSEQ hypothetical protein	
Function unknown	VOG26263	REFSEQ hypothetical protein	
Function unknown	VOG26264	REFSEQ hypothetical protein	
Function unknown	VOG26265	REFSEQ hypothetical protein	
Function unknown	VOG26266	REFSEQ hypothetical protein	
Function unknown	VOG26267	REFSEQ hypothetical protein	
Function unknown	VOG26268	REFSEQ hypothetical protein	
Function unknown	VOG26269	REFSEQ hypothetical protein	
Function unknown	VOG26270	REFSEQ hypothetical protein	
Function unknown	VOG26271	REFSEQ hypothetical protein	
Function unknown	VOG26272	REFSEQ hypothetical protein	
Function unknown	VOG26273	REFSEQ hypothetical protein	
Function unknown	VOG26274	REFSEQ hypothetical protein	
Function unknown	VOG26275	REFSEQ hypothetical protein	
Function unknown	VOG26276	REFSEQ hypothetical protein	
Function unknown	VOG26277	REFSEQ hypothetical protein	
Function unknown	VOG26278	REFSEQ hypothetical protein	
Function unknown	VOG26279	REFSEQ hypothetical protein	
Function unknown	VOG26280	REFSEQ hypothetical protein	
Function unknown	VOG26281	REFSEQ hypothetical protein	
Function unknown	VOG26282	REFSEQ hypothetical protein	
Function unknown	VOG26283	REFSEQ hypothetical protein	
Function unknown	VOG26284	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG26285	sp|P10238|ICP27_HHV11 mRNA export factor	
Function unknown	VOG26286	REFSEQ hypothetical protein	
Function unknown	VOG26287	REFSEQ hypothetical protein	
Function unknown	VOG26288	REFSEQ hypothetical protein	
Function unknown	VOG26289	REFSEQ hypothetical protein	
Function unknown	VOG26290	REFSEQ hypothetical protein	
Function unknown	VOG26291	REFSEQ hypothetical protein	
Function unknown	VOG26292	REFSEQ hypothetical protein	
Function unknown	VOG26293	REFSEQ matrix	
Function unknown	VOG26294	REFSEQ P	
Function unknown	VOG26295	REFSEQ hypothetical protein	
Function unknown	VOG26296	REFSEQ hypothetical protein	
Function unknown	VOG26297	REFSEQ hypothetical protein	
Function unknown	VOG26298	REFSEQ hypothetical protein	
Function unknown	VOG26299	REFSEQ hypothetical protein	
Function unknown	VOG26300	REFSEQ hypothetical protein	
Function unknown	VOG26301	REFSEQ HPF/RaiA family ribosome-associated protein	
Function unknown	VOG26302	REFSEQ hypothetical protein	
Function unknown	VOG26303	REFSEQ hypothetical protein	
Function unknown	VOG26304	REFSEQ hypothetical protein	
Function unknown	VOG26305	REFSEQ hypothetical protein	
Function unknown	VOG26306	REFSEQ hypothetical protein	
Function unknown	VOG26307	REFSEQ hypothetical protein	
Function unknown	VOG26308	REFSEQ hypothetical protein	
Function unknown	VOG26309	REFSEQ hypothetical protein	
Function unknown	VOG26310	REFSEQ hypothetical protein	
Function unknown	VOG26311	REFSEQ hypothetical protein	
Function unknown	VOG26312	REFSEQ hypothetical protein	
Function unknown	VOG26313	REFSEQ hypothetical protein	
Function unknown	VOG26314	REFSEQ hypothetical protein	
Function unknown	VOG26315	REFSEQ hypothetical protein	
Function unknown	VOG26316	REFSEQ hypothetical protein	
Function unknown	VOG26317	REFSEQ hypothetical protein	
Function unknown	VOG26318	REFSEQ hypothetical protein	
Function unknown	VOG26319	REFSEQ hypothetical protein	
Function unknown	VOG26320	REFSEQ hypothetical protein	
Function unknown	VOG26321	REFSEQ hypothetical protein	
Function unknown	VOG26322	REFSEQ hypothetical protein	
Function unknown	VOG26323	REFSEQ hypothetical protein	
Function unknown	VOG26324	REFSEQ hypothetical protein	
Function unknown	VOG26325	REFSEQ hypothetical protein	
Function unknown	VOG26326	REFSEQ hypothetical protein	
Function unknown	VOG26327	REFSEQ hypothetical protein	
Function unknown	VOG26328	REFSEQ hypothetical protein	
Function unknown	VOG26329	REFSEQ hypothetical protein	
Function unknown	VOG26330	REFSEQ hypothetical protein	
Function unknown	VOG26331	REFSEQ hypothetical protein	
Function unknown	VOG26332	REFSEQ hypothetical protein	
Function unknown	VOG26333	REFSEQ hypothetical protein	
Function unknown	VOG26334	REFSEQ hypothetical protein	
Function unknown	VOG26335	REFSEQ hypothetical protein	
Function unknown	VOG26336	REFSEQ hypothetical protein	
Function unknown	VOG26337	REFSEQ hypothetical protein	
Function unknown	VOG26338	REFSEQ hypothetical protein	
Function unknown	VOG26339	REFSEQ hypothetical protein	
Function unknown	VOG26340	REFSEQ hypothetical protein	
Function unknown	VOG26341	REFSEQ hypothetical protein	
Function unknown	VOG26342	REFSEQ hypothetical protein	
Function unknown	VOG26343	REFSEQ hypothetical protein	
Function unknown	VOG26344	REFSEQ hypothetical protein	
Function unknown	VOG26345	REFSEQ hypothetical protein	
Function unknown	VOG26346	REFSEQ hypothetical protein	
Function unknown	VOG26347	REFSEQ hypothetical protein	
Function unknown	VOG26348	REFSEQ hypothetical protein	
Function unknown	VOG26349	REFSEQ hypothetical protein	
Function unknown	VOG26350	REFSEQ hypothetical protein	
Function unknown	VOG26351	REFSEQ hypothetical protein	
Function unknown	VOG26352	REFSEQ hypothetical protein	
Function unknown	VOG26353	REFSEQ hypothetical protein	
Function unknown	VOG26354	REFSEQ hypothetical protein	
Function unknown	VOG26355	REFSEQ hypothetical protein	
Function unknown	VOG26356	REFSEQ hypothetical protein	
Function unknown	VOG26357	REFSEQ hypothetical protein	
Function unknown	VOG26358	REFSEQ hypothetical protein	
Function unknown	VOG26359	REFSEQ hypothetical protein	
Function unknown	VOG26360	REFSEQ hypothetical protein	
Function unknown	VOG26361	REFSEQ hypothetical protein	
Function unknown	VOG26362	REFSEQ hypothetical protein	
Function unknown	VOG26363	REFSEQ hypothetical protein	
Function unknown	VOG26364	REFSEQ hypothetical protein	
Function unknown	VOG26365	REFSEQ hypothetical protein	
Function unknown	VOG26366	REFSEQ hypothetical protein	
Function unknown	VOG26367	REFSEQ hypothetical protein	
Function unknown	VOG26368	REFSEQ hypothetical protein	
Function unknown	VOG26369	REFSEQ hypothetical protein	
Function unknown	VOG26370	REFSEQ hypothetical protein	
Function unknown	VOG26371	REFSEQ hypothetical protein	
Function unknown	VOG26372	REFSEQ hypothetical protein	
Function unknown	VOG26373	REFSEQ hypothetical protein	
Function unknown	VOG26374	REFSEQ hypothetical protein	
Function unknown	VOG26375	REFSEQ hypothetical protein	
Function unknown	VOG26376	REFSEQ hypothetical protein	
Function unknown	VOG26377	REFSEQ hypothetical protein	
Function unknown	VOG26378	REFSEQ hypothetical protein	
Function unknown	VOG26379	REFSEQ hypothetical protein	
Function unknown	VOG26380	REFSEQ hypothetical protein	
Function unknown	VOG26381	REFSEQ hypothetical protein	
Function unknown	VOG26382	REFSEQ hypothetical protein	
Function unknown	VOG26383	REFSEQ hypothetical protein	
Function unknown	VOG26384	REFSEQ hypothetical protein	
Function unknown	VOG26385	REFSEQ hypothetical protein	
Function unknown	VOG26386	REFSEQ hypothetical protein	
Function unknown	VOG26387	REFSEQ hypothetical protein	
Function unknown	VOG26388	REFSEQ hypothetical protein	
Function unknown	VOG26389	REFSEQ hypothetical protein	
Function unknown	VOG26390	REFSEQ hypothetical protein	
Function unknown	VOG26391	REFSEQ hypothetical protein	
Function unknown	VOG26392	REFSEQ hypothetical protein	
Function unknown	VOG26393	REFSEQ hypothetical protein	
Function unknown	VOG26394	REFSEQ hypothetical protein	
Function unknown	VOG26395	REFSEQ hypothetical protein	
Function unknown	VOG26396	REFSEQ hypothetical protein	
Function unknown	VOG26397	REFSEQ hypothetical protein	
Function unknown	VOG26398	REFSEQ hypothetical protein	
Function unknown	VOG26399	REFSEQ hypothetical protein	
Function unknown	VOG26400	REFSEQ hypothetical protein	
Function unknown	VOG26401	REFSEQ hypothetical protein	
Function unknown	VOG26402	REFSEQ hypothetical protein	
Function unknown	VOG26403	REFSEQ hypothetical protein	
Function unknown	VOG26404	REFSEQ hypothetical protein	
Function unknown	VOG26405	REFSEQ hypothetical protein	
Function unknown	VOG26406	REFSEQ hypothetical protein	
Function unknown	VOG26407	REFSEQ hypothetical protein	
Function unknown	VOG26408	REFSEQ hypothetical protein	
Function unknown	VOG26409	REFSEQ hypothetical protein	
Function unknown	VOG26410	REFSEQ hypothetical protein	
Function unknown	VOG26411	REFSEQ hypothetical protein	
Function unknown	VOG26412	REFSEQ hypothetical protein	
Function unknown	VOG26413	REFSEQ hypothetical protein	
Function unknown	VOG26414	REFSEQ hypothetical protein	
Function unknown	VOG26415	REFSEQ hypothetical protein	
Function unknown	VOG26416	REFSEQ hypothetical protein	
Function unknown	VOG26417	REFSEQ hypothetical protein	
Function unknown	VOG26418	REFSEQ hypothetical protein	
Function unknown	VOG26419	REFSEQ hypothetical protein	
Function unknown	VOG26420	REFSEQ hypothetical protein	
Function unknown	VOG26421	REFSEQ hypothetical protein	
Function unknown	VOG26422	REFSEQ hypothetical protein	
Function unknown	VOG26423	REFSEQ hypothetical protein	
Function unknown	VOG26424	REFSEQ hypothetical protein	
Function unknown	VOG26425	REFSEQ hypothetical protein	
Function unknown	VOG26426	REFSEQ hypothetical protein	
Function unknown	VOG26427	REFSEQ hypothetical protein	
Function unknown	VOG26428	REFSEQ hypothetical protein	
Function unknown	VOG26429	REFSEQ hypothetical protein	
Function unknown	VOG26430	REFSEQ hypothetical protein	
Function unknown	VOG26431	REFSEQ hypothetical protein	
Function unknown	VOG26432	REFSEQ hypothetical protein	
Function unknown	VOG26433	REFSEQ hypothetical protein	
Function unknown	VOG26434	REFSEQ hypothetical protein	
Function unknown	VOG26435	REFSEQ hypothetical protein	
Function unknown	VOG26436	REFSEQ hypothetical protein	
Function unknown	VOG26437	REFSEQ DUF5049 domain-containing protein	
Function unknown	VOG26438	REFSEQ hypothetical protein	
Function unknown	VOG26439	REFSEQ hypothetical protein	
Function unknown	VOG26440	REFSEQ hypothetical protein	
Function unknown	VOG26441	REFSEQ hypothetical protein	
Function unknown	VOG26442	REFSEQ hypothetical protein	
Function unknown	VOG26443	REFSEQ hypothetical protein	
Function unknown	VOG26444	REFSEQ hypothetical protein	
Function unknown	VOG26445	REFSEQ hypothetical protein	
Function unknown	VOG26446	REFSEQ hypothetical protein	
Function unknown	VOG26447	REFSEQ hypothetical protein	
Function unknown	VOG26448	REFSEQ hypothetical protein	
Function unknown	VOG26449	REFSEQ Holliday junction resolvase	
