ID	Function	Gene
TIGR03666	PPOX class probable F420-dependent enzyme, Rv2061 family	
TIGR03667	PPOX class probable F420-dependent enzyme, Rv3369 family	
TIGR03668	PPOX class probable F420-dependent enzyme, Rv0121 family	
TIGR03669	urea ABC transporter, substrate-binding protein	
TIGR03670	DNA-directed RNA polymerase subunit B	rpoB
TIGR03671	CCA-adding enzyme	cca
TIGR03672	50S ribosomal protein uL4	rpl4p
TIGR03673	50S ribosomal protein uL14	rpl14p
TIGR03674	flap structure-specific endonuclease	fen
TIGR03675	arCOG00543 universal archaeal KH-domain/beta-lactamase-domain protein	
TIGR03676	peptide chain release factor 1, archaeal and eukaryotic forms	prf1
TIGR03677	ribosomal protein eL8	rpl7ae
TIGR03678	bacteriocin leader peptide, microcyclamide/patellamide family	
TIGR03679	arCOG00187 universal archaeal metal-binding-domain/4Fe-4S-binding-domain containing ABC transporter, ATP-binding protein	
TIGR03680	translation initiation factor 2, gamma subunit	eif2g
TIGR03682	diphthamide biosynthesis enzyme Dph2	dph2
TIGR03683	alanine--tRNA ligase	alaS
TIGR03684	arCOG04150 universal archaeal PUA-domain protein	
TIGR03685	50S ribosomal protein P1	rpl12p
TIGR03686	Pup--protein ligase	pafA
TIGR03687	ubiquitin-like protein Pup	
TIGR03688	proteasome accessory factor PafA2	
TIGR03689	proteasome ATPase	arc
TIGR03690	proteasome, beta subunit	prcB
TIGR03691	proteasome, alpha subunit	prcA
TIGR03692	ATP-dependent protease HslVU, peptidase subunit	hslV
TIGR03693	putative thiazole-containing bacteriocin maturation protein	
TIGR03694	N-acyl amino acid synthase, PEP-CTERM/exosortase system-associated	
TIGR03695	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	menH
TIGR03696	RHS repeat-associated core domain	
TIGR03697	global nitrogen regulator NtcA	ntcA
TIGR03698	clan AA aspartic protease, AF_0612 family	
TIGR03699	dehypoxanthine futalosine cyclase	mqnC
TIGR03700	putative menaquinone biosynthesis radical SAM enzyme, SCO4494 family	
TIGR03701	menaquinone biosynthesis decarboxylase, SCO4490 family	
TIGR03702	lipid kinase YegS	yegS
TIGR03703	glycerol-3-phosphate O-acyltransferase	plsB
TIGR03704	putative protein-(glutamine-N5) methyltransferase, unknown substrate-specific	
TIGR03705	polyphosphate kinase 1	ppk1
TIGR03706	exopolyphosphatase	ppx
TIGR03707	polyphosphate kinase 2	ppk2
TIGR03708	polyphosphate:AMP phosphotransferase	pap
TIGR03709	polyphosphate:nucleotide phosphotransferase, PPK2 family	
TIGR03710	2-oxoacid:acceptor oxidoreductase, alpha subunit	
TIGR03711	accessory Sec system protein Asp3	asp3
TIGR03712	accessory Sec system protein Asp2	asp2
TIGR03713	accessory Sec system protein Asp1	asp1
TIGR03714	accessory Sec system translocase SecA2	secA2
TIGR03715	KxYKxGKxW signal peptide	
TIGR03716	integral membrane protein, YkoY family	
TIGR03717	integral membrane protein, YjbE family	
TIGR03718	integral membrane protein, TerC family	
TIGR03719	ATP-binding cassette protein, ChvD family	
TIGR03720	exosporium leader peptide	
TIGR03721	BclB C-terminal domain	
TIGR03722	universal archaeal protein Kae1	kae1
TIGR03723	tRNA threonylcarbamoyl adenosine modification protein TsaD	tsaD
TIGR03724	Kae1-associated kinase Bud32	
TIGR03725	tRNA threonylcarbamoyl adenosine modification protein YeaZ	yeaZ
TIGR03726	putative cross-wall-targeting lipoprotein signal	
TIGR03727	urea ABC transporter, permease protein UrtC	urtC
TIGR03728	glycosyltransferase, SP_1767 family	
TIGR03729	putative phosphoesterase	
TIGR03730	tungstate ABC transporter binding protein WtpA	
TIGR03731	lantibiotic, gallidermin/nisin family	
TIGR03732	lantibiotic protection ABC transporter permease subunit, MutE/EpiE family	
TIGR03733	lantibiotic protection ABC transporter permease subunit, MutG family	
TIGR03734	PRTRC system ParB family protein	
TIGR03735	PRTRC system protein A	
TIGR03736	PRTRC system ThiF family protein	
TIGR03737	PRTRC system protein B	
TIGR03738	PRTRC system protein C	
TIGR03739	PRTRC system protein D	
TIGR03740	lantibiotic protection ABC transporter, ATP-binding subunit	
TIGR03741	PRTRC system protein E	
TIGR03742	PRTRC system protein F	
TIGR03743	conjugative coupling factor TraD, SXT/TOL subfamily	traD
TIGR03744	conjugative transfer ATPase, PFL_4706 family	
TIGR03745	integrating conjugative element membrane protein, PFL_4702 family	
TIGR03746	integrating conjugative element protein, PFL_4703 family	
TIGR03747	integrating conjugative element membrane protein, PFL_4697 family	
TIGR03748	integrating conjugative element protein PilL, PFGI-1 class	
TIGR03749	integrating conjugative element protein, PFL_4704 family	
TIGR03750	conjugative transfer region protein, TIGR03750 family	
TIGR03751	conjugative transfer region lipoprotein, TIGR03751 family	
TIGR03752	integrating conjugative element protein, PFL_4705 family	
TIGR03753	beta-carotene 15,15'-monooxygenase, Brp/Blh family	
TIGR03754	conjugative coupling factor TraD, PFGI-1 class	traD
TIGR03755	integrating conjugative element protein, PFL_4711 family	
TIGR03756	integrating conjugative element protein, PFL_4710 family	
TIGR03757	integrating conjugative element protein, PFL_4709 family	
TIGR03758	integrating conjugative element protein, PFL_4701 family	
TIGR03759	integrating conjugative element protein, PFL_4693 family	
TIGR03760	integrating conjugative element relaxase, PFGI-1 class	traI
TIGR03761	integrating conjugative element protein, PFL_4669 family	
TIGR03762	archaeosortase C	artC
TIGR03763	cyanoexosortase A	crtA
TIGR03764	integrating conjugative element, PFGI_1 class, ParB family protein	
TIGR03765	integrating conjugative element protein, PFL_4695 family	
TIGR03766	conserved hypothetical integral membrane protein	
TIGR03767	metallophosphoesterase, PPA1498 family	
TIGR03768	metallophosphoesterase, RPA4764 family	
TIGR03769	actinobacterial surface-anchored protein domain	
TIGR03770	anchored repeat-type ABC transporter, permease subunit	
TIGR03771	anchored repeat-type ABC transporter, ATP-binding subunit	
TIGR03772	anchored repeat ABC transporter, substrate-binding protein	
TIGR03773	putative ABC transporter-associated repeat protein	
TIGR03774	rickettsial palindromic element RPE2 domain	
TIGR03775	rickettsial palindromic element RPE3 domain	
TIGR03776	rickettsial palindromic element RPE5 domain	
TIGR03777	rickettsial palindromic element RPE4 domain	
TIGR03778	VPDSG-CTERM protein sorting domain	
TIGR03779	Bacteroides conjugative transposon TraM protein	traM
TIGR03780	Bacteroides conjugative transposon TraN protein	traN
TIGR03781	Bacteroides conjugative transposon TraK protein	traK
TIGR03782	Bacteroides conjugative transposon TraJ protein	traJ
TIGR03783	Bacteroides conjugation system ATPase, TraG family	traG
TIGR03784	sortase, marine proteobacterial type	
TIGR03785	proteobacterial dedicated sortase system histidine kinase	pdsS
TIGR03786	streptococcal pilin isopeptide linkage domain	
TIGR03787	proteobacterial dedicated sortase system response regulator	pdsR
TIGR03788	marine proteobacterial sortase target protein	
TIGR03789	proteobacterial sortase system peptidoglycan-associated protein	pdsO
TIGR03790	TIGR03790 family protein	
TIGR03791	tryptophan tryptophylquinone biosynthesis enzyme MauG	mauG
TIGR03792	uncharacterized cyanobacterial protein, TIGR03792 family	
TIGR03793	NHLP leader peptide domain	
TIGR03794	NHLM bacteriocin system secretion protein	
TIGR03795	ribosomal natural product, two-chain TOMM family	
TIGR03796	NHLM bacteriocin system ABC transporter, peptidase/ATP-binding protein	
TIGR03797	NHLM bacteriocin system ABC transporter, ATP-binding protein	
TIGR03798	nif11-like leader peptide domain	
TIGR03799	putative pyridoxal-dependent aspartate 1-decarboxylase	panP
TIGR03800	pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2	pdxT
TIGR03801	aspartate 4-decarboxylase	aspD
TIGR03802	aspartate-alanine antiporter	aspT
TIGR03803	gloeo_Verruco repeat	
TIGR03804	parallel beta-helix repeat	
TIGR03805	parallel beta-helix repeat-containing protein	
TIGR03806	conserved hypothetical protein, HNE_0200 family	
TIGR03807	putative cofactor-binding repeat	
TIGR03808	twin-arg-translocated uncharacterized repeat protein	
TIGR03809	TIGR03809 family protein	
TIGR03810	arginine-ornithine antiporter	arcD
TIGR03811	tyrosine decarboxylase	tdc
TIGR03812	tyrosine decarboxylase MnfA	mfnA
TIGR03813	putative glutamate/gamma-aminobutyrate antiporter	
TIGR03814	glutaminase A	glsA
TIGR03815	helicase/secretion neighborhood CpaE-like protein	
TIGR03816	helicase/secretion neighborhood TadE-like protein	
TIGR03817	helicase/secretion neighborhood putative DEAH-box helicase	
TIGR03818	flagellar motor stator protein MotA	motA
TIGR03819	helicase/secretion neighborhood ATPase	
TIGR03820	lysine-2,3-aminomutase	ablA
TIGR03821	EF-P beta-lysylation protein EpmB	epmB
TIGR03822	lysine-2,3-aminomutase-related protein	
TIGR03823	flagellar regulatory protein FliZ	fliZ
TIGR03824	flagellar biosynthesis anti-sigma factor FlgM	flgM
TIGR03825	flagellar assembly protein FliH	fliH
TIGR03826	flagellar operon protein TIGR03826	
TIGR03827	putative beta-lysine N-acetyltransferase	ablB
TIGR03828	1-phosphofructokinase	pfkB
TIGR03829	uncharacterized protein, YokU family	
TIGR03830	putative zinc finger/helix-turn-helix protein, YgiT family	
TIGR03831	YgiT-type zinc finger domain	
TIGR03832	tyrosine 2,3-aminomutase	cmdF
TIGR03833	conserved hypothetical protein	
TIGR03834	EAGR box	
TIGR03835	terminal organelle assembly protein TopJ	topJ
TIGR03836	cytadherence high molecular weight protein 1 N-terminal region	hmw1
TIGR03837	conserved hypothetical protein, PP_1857 family	
TIGR03838	glutamyl-queuosine tRNA(Asp) synthetase	gluQ
TIGR03839	adhesin P1	mgpA
TIGR03840	thiopurine S-methyltransferase, Se/Te detoxification family	tmpT
TIGR03841	probable F420-dependent oxidoreductase, Rv3093c family	
TIGR03842	F420-dependent oxidoreductase, CPS_4043 family	
TIGR03843	conserved hypothetical protein	
TIGR03844	cysteate synthase	
TIGR03845	sulfopyruvate decarboxylase, alpha subunit	comD
TIGR03846	sulfopyruvate decarboxylase, beta subunit	comE
TIGR03847	conserved hypothetical protein	
TIGR03848	probable phosphomutase, MSMEG_4193 family	
TIGR03849	phosphosulfolactate synthase	comA
TIGR03850	carbohydrate ABC transporter substrate-binding protein, CPR_0540 family	
TIGR03851	carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein	ngcE
TIGR03852	sucrose phosphorylase	gtfA
TIGR03853	putative metal-binding protein	
TIGR03854	probable F420-dependent oxidoreductase, MSMEG_3544 family	
TIGR03855	aspartate dehydrogenase	nadX
TIGR03856	probable F420-dependent oxidoreductase, MSMEG_2906 family	
TIGR03857	probable F420-dependent oxidoreductase, MSMEG_2249 family	
TIGR03858	probable oxidoreductase, LLM family	
TIGR03859	coenzyme PQQ biosynthesis protein PqqD	pqqD
TIGR03860	FMN-dependent oxidoreductase, nitrilotriacetate monooxygenase family	
TIGR03861	alcohol ABC transporter, permease protein	
TIGR03862	flavoprotein, TIGR03862 family	
TIGR03863	ABC transporter, substrate binding protein, PQQ-dependent alcohol dehydrogenase system	
TIGR03864	ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system	
TIGR03865	PQQ-dependent catabolism-associated CXXCW motif protein	
TIGR03866	PQQ-dependent catabolism-associated beta-propeller protein	
TIGR03867	MprA protease C-terminal rhombosortase-interaction domain	mprA
TIGR03868	proposed F420-0 ABC transporter, periplasmic F420-0 binding protein	
TIGR03869	proposed F420-0 ABC transporter, permease protein	
TIGR03870	methanol oxidation system protein MoxJ	moxJ
TIGR03871	quinoprotein dehydrogenase-associated probable ABC transporter substrate-binding protein	
TIGR03872	cytochrome c(L), periplasmic	moxG
TIGR03873	proposed F420-0 ABC transporter, ATP-binding protein	
TIGR03874	c-type cytochrome, methanol metabolism-related	
TIGR03875	RNA ligase partner, MJ_0950 family	
TIGR03876	CRISPR type I-A/APERN-associated protein CsaX	csaX
TIGR03877	KaiC domain protein, Ph0284 family	
TIGR03878	KaiC domain protein, AF_0795 family	
TIGR03879	probable regulatory domain	
TIGR03880	KaiC domain protein, AF_0351 family	
TIGR03881	KaiC domain protein, PAE1156 family	
TIGR03882	bacteriocin biosynthesis cyclodehydratase domain	
TIGR03883	uncharacterized protein, coenzyme F420 biosynthesis associated	
TIGR03884	selenium-binding protein	
TIGR03885	probable non-F420 flavinoid oxidoreductase	
TIGR03886	spore photoproduct lyase family protein	
TIGR03887	thiocyanate hydrolase, gamma subunit	scnC
TIGR03888	nitrile hydratase, beta subunit	nthB
TIGR03889	nitrile hydratase accessory protein	
TIGR03890	nif11 domain/cupin domain protein	
TIGR03891	thiopeptide-type bacteriocin biosynthesis domain	
TIGR03892	thiazolylpeptide-type bacteriocin precursor	
TIGR03893	type 2 lantibiotic, SP_1948 family	
TIGR03894	conserved hypothetical protein, TIGR03894 family	
TIGR03895	cyanobactin maturation protease, PatA/PatG family	
TIGR03896	bacteriocin-type transport-associated protein	
TIGR03897	type 2 lantibiotic biosynthesis protein LanM	lanM
TIGR03898	type 2 lantibiotic, mersacidin/lichenicidin family	
TIGR03899	TIGR03899 family protein	
TIGR03900	putative carboxyl-terminal-processing protease, deltaproteobacterial	
TIGR03901	MYXO-CTERM domain	
TIGR03902	rhombosortase	rrtA
TIGR03903	TOMM system kinase/cyclase fusion protein	
TIGR03904	uncharacterized radical SAM protein YgiQ	
TIGR03905	uncharacterized protein TIGR03905	
TIGR03906	quinohemoprotein amine dehydrogenase maturation protein	peaB
TIGR03907	quinohemoprotein amine dehydrogenase, beta subunit	peaD
TIGR03908	quinohemoprotein amine dehydrogenase, alpha subunit	peaA
TIGR03909	pyrrolysine biosynthesis protein PylC	pylC
TIGR03910	pyrrolysine biosynthesis radical SAM protein	pylB
TIGR03911	pyrrolysine biosynthesis protein PylD	pylD
TIGR03912	pyrrolysine--tRNA ligase, N-terminal region	pylSn
TIGR03913	Y_X(10)_GDL-associated radical SAM protein	
TIGR03914	uracil-DNA glycosylase family domain	
TIGR03915	probable DNA metabolism protein	
TIGR03916	putative DNA modification/repair radical SAM protein	
TIGR03917	Frankia-40 domain	
TIGR03918	[FeFe] hydrogenase H-cluster maturation GTPase HydF	hydF
TIGR03919	type VII secretion protein EccB	eccB
TIGR03920	type VII secretion integral membrane protein EccD	eccD
TIGR03921	type VII secretion-associated serine protease mycosin	mycP
TIGR03922	type VII secretion AAA-ATPase EccA	eccA
TIGR03923	type VII secretion protein EccE	eccE
TIGR03924	type VII secretion protein EccCa	eccCa
TIGR03925	type VII secretion protein EccCb	eccCb
TIGR03926	type VII secretion protein EssB	essB
TIGR03927	type VII secretion protein EssA	essA
TIGR03928	type VII secretion protein EssC	essC
TIGR03929	type VII secretion protein EsaA	esaA
TIGR03930	WXG100 family type VII secretion target	
TIGR03931	type VII secretion-associated protein, Rv3446c family	
TIGR03932	intracellular adhesion protein D	icaD
TIGR03933	intercellular adhesin biosynthesis polysaccharide N-deacetylase	icaB
TIGR03934	TQXA domain	
TIGR03935	fragilysin	bft
TIGR03936	radical SAM-linked protein	
TIGR03937	poly-beta-1,6 N-acetyl-D-glucosamine synthase	pgaC
TIGR03938	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB	pgaB
TIGR03939	poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA	pgaA
TIGR03940	poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD	pgaD
TIGR03941	putative tRNA adenosine deaminase-associated protein	
TIGR03942	anaerobic sulfatase maturase	
TIGR03943	TIGR03943 family protein	
TIGR03944	2,3-diaminopropionate biosynthesis protein SbnB	
TIGR03945	2,3-diaminopropionate biosynthesis protein SbnA	
TIGR03946	arginine beta-hydroxylase, Fe(II)/alpha-ketoglutarate-dependent	vioC
TIGR03947	capreomycidine synthase	vioD
TIGR03948	butyryl-CoA:acetate CoA-transferase	
TIGR03949	class IIb bacteriocin, lactobin A/cerein 7B family	
TIGR03950	siderophore ferric iron reductase, AHA_1954 family	
TIGR03951	siderophore-iron reductase FhuF	fhuF
TIGR03952	zinc-dependent metalloproteinase lipoprotein, BF0631 family	
TIGR03953	50S ribosomal protein uL4	rplD
TIGR03954	integral membrane protein	
TIGR03955	[FeFe] hydrogenase H-cluster radical SAM maturase HydG	hydG
TIGR03956	[FeFe] hydrogenase H-cluster radical SAM maturase HydE	hydE
TIGR03957	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdB	hmdB
TIGR03958	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdC	hmdC
TIGR03959	putative iron-only hydrogenase system regulator	
TIGR03960	radical SAM family uncharacterized protein	
TIGR03961	archaeal radical SAM protein, PTO1314 family	
TIGR03962	mycofactocin radical SAM maturase	mftC
TIGR03963	putative 7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE	
TIGR03964	mycofactocin system creatininase family protein	mftE
TIGR03965	mycofactocin system glycosyltransferase	mftF
TIGR03966	heme/flavin dehydrogenase, mycofactocin system	mftD
TIGR03967	putative mycofactocin binding protein MftB	mftB
TIGR03968	mycofactocin system transcriptional regulator	mftR
TIGR03969	mycofactocin precursor	mftA
TIGR03970	dehydrogenase, Rv0697 family	mftG
TIGR03971	SDR family mycofactocin-dependent oxidoreductase	
TIGR03972	wyosine biosynthesis protein TYW1	twy1
TIGR03973	six-cysteine peptide SCIFF	scfA
TIGR03974	SCIFF radical SAM maturase	scfB
TIGR03975	ribosomal peptide maturation radical SAM protein 1	
TIGR03976	His-Xaa-Ser system protein HxsD	hxsD
TIGR03977	His-Xaa-Ser system radical SAM maturase HxsC	hxsC
TIGR03978	His-Xaa-Ser system radical SAM maturase HxsB	hxsB
TIGR03979	His-Xaa-Ser repeat protein HxsA	hxsA
TIGR03980	hybrid cluster protein-associated redox disulfide domain	
TIGR03981	His-Xaa-Ser system putative quinone modification maturase	
TIGR03982	His-Xaa-Ser system protein, TIGR03982 family	
TIGR03983	CRISPR-associated endonuclease Cas1, subtype MYXAN	cas1
TIGR03984	CRISPR-associated protein, TIGR03984 family	
TIGR03985	CRISPR-associated protein, TIGR03985 family	
TIGR03986	CRISPR-associated protein	
TIGR03987	TIGR03987 family protein	
TIGR03988	mycothiol system anti-sigma-R factor	rsrA
TIGR03989	NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family	
TIGR03990	phosphoglucosamine mutase	glmM
TIGR03991	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	glmU
TIGR03992	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	glmU
TIGR03993	[NiFe] hydrogenase assembly chaperone, HybE family	
TIGR03994	coproporphyrinogen dehydrogenase HemZ	hemZ
TIGR03995	putative rSAM target protein, CGCGG family	
TIGR03996	mycofactocin system FadH/OYE family oxidoreductase 1	
TIGR03997	mycofactocin system FadH/OYE family oxidoreductase 2	
TIGR03998	bacillithiol biosynthesis cysteine-adding enzyme BshC	bshC
TIGR03999	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA	bshA
TIGR04000	bacillithiol biosynthesis deacetylase BshB2	bshB2
TIGR04001	bacillithiol biosynthesis deacetylase BshB1	bshB1
TIGR04002	TIGR04002 family protein	
TIGR04003	[benzylsuccinate synthase]-activating enzyme	bssD
TIGR04004	colanic acid biosynthesis protein WcaM	wcaM
TIGR04005	colanic acid biosynthesis glycosyltransferase WcaL	wcaL
TIGR04006	colanic acid biosynthesis pyruvyl transferase WcaK	wcaK
TIGR04007	colanic acid biosynthesis glycosyltransferase WcaI	wcaI
TIGR04008	colanic acid biosynthesis acetyltransferase WcaF	wcaF
TIGR04009	colanic acid biosynthesis glycosyltransferase WcaE	wcaE
TIGR04010	putative colanic acid polymerase WcaD	wcaD
TIGR04011	poly-gamma-glutamate biosynthesis protein PgsC	pgsC
TIGR04012	poly-gamma-glutamate synthase PgsB	pgsB
TIGR04013	B12-binding domain/radical SAM domain protein, MJ_1487 family	
TIGR04014	B12-binding domain/radical SAM domain protein, MJ_0865 family	
TIGR04015	colanic acid biosynthesis glycosyltransferase WcaC	wcaC
TIGR04016	colanic acid biosynthesis acetyltransferase WcaB	wcaB
TIGR04017	colanic acid biosynthesis glycosyltransferase WcaA	wcaA
TIGR04018	putative bacillithiol system oxidoreductase, YpdA family	ypdA
TIGR04019	bacillithiol system protein YtxJ	ytxJ
TIGR04020	natural product biosynthesis luciferase-like monooxygenase domain	
TIGR04021	dimethyl sulfone monooxygenase SfnG	sfnG
TIGR04022	sulfur acquisition oxidoreductase, SfnB family	
TIGR04023	PPOX class F420-dependent enzyme, MSMEG_5819/OxyR family	
TIGR04024	coenzyme F420-dependent oxidoreductase, NP1902A family	
TIGR04025	pyridoxamine 5'-phosphate oxidase, FMN-binding family	
TIGR04026	PPOX class probable FMN-dependent enzyme, alr4036 family	
TIGR04027	putative FMN-dependent luciferase-like monooxygenase, KPN_01858 family	
TIGR04028	ABC transporter substrate binding protein, KPN_01854 family	
TIGR04029	CMD domain protein, Avi_7170 family	
TIGR04030	alkylhydroperoxidase domain protein, Avi_7169 family	
TIGR04031	rSAM-partnered protein, Htur_1727 family	
TIGR04032	antimicrobial peptide, SdpC family	
TIGR04033	antimicrobial peptide system protein, SdpB family	
TIGR04034	antimicrobial peptide system protein, SdpA family	
TIGR04035	glucan-binding repeat	
TIGR04036	putative luciferase-like monooxygenase, FMN-dependent, CE1758 family	
TIGR04037	LLM-partnered FMN reductase, CE1759 family	
TIGR04038	radical SAM protein, TatD family-associated	
TIGR04039	di-heme enzyme, MXAN_0977 family	
TIGR04040	glycine radical enzyme, YjjI family	yjjI
TIGR04041	glycine radical enzyme activase, YjjW family	yjjW
TIGR04042	MSMEG_0570 family protein	
TIGR04043	radical SAM protein, MSMEG_0568 family	
TIGR04044	MSMEG_0572 family protein	
TIGR04045	putative N-acetyltransferase, MSMEG_0567 N-terminal domain family	
TIGR04046	flavin-dependent oxidoreductase, MSMEG_0569 family	
TIGR04047	glycosyltransferase, MSMEG_0565 family	
TIGR04048	putative nitrilase, sll0784 family	
TIGR04049	AIR synthase-related protein, sll0787 family	
TIGR04050	AIR synthase-related protein, MSMEG_0567 C-terminal family	
TIGR04051	heme d1 biosynthesis radical SAM protein NirJ	nirJ
TIGR04052	AZL_007920/MXAN_0976 family protein	
TIGR04053	radical SAM protein, BA_1875 family	
TIGR04054	putative heme d1 biosynthesis radical SAM protein NirJ1	nirJ1
TIGR04055	putative heme d1 biosynthesis radical SAM protein NirJ2	nirJ2
TIGR04056	TonB-linked outer membrane protein, SusC/RagA family	
TIGR04057	TonB-dependent outer membrane receptor, SusC/RagA subfamily, signature region	
TIGR04058	long-chain fatty acyl-ACP reductase (aldehyde-forming)	
TIGR04059	long-chain fatty aldehyde decarbonylase	
TIGR04060	formate transporter FocA	focA
TIGR04061	AZL_007950 family protein	
TIGR04062	dnd system-associated protein 4	
TIGR04063	PEP-CTERM/exosortase A-associated glycosyltransferase, Daro_2409 family	
TIGR04064	nif11-like peptide radical SAM maturase	nlpM
TIGR04065	putative bacteriocin precursor, CLI_3235 family	
TIGR04066	peptide maturation system protein, TIGR04066 family	
TIGR04067	putative bacteriocin precursor, CLOSPO_01332 family	
TIGR04068	Cys-rich peptide radical SAM maturase CcpM	ccpM
TIGR04069	peptide maturation system acyl carrier-related protein	
TIGR04070	spore photoproduct lyase	splB
TIGR04071	methanobactin precursor, Mb-OB3b family	mbnA
TIGR04072	lipid biosynthesis B12-binding/radical SAM protein	
TIGR04073	putative exosortase-associated protein, TIGR04073 family	
TIGR04074	3' terminal RNA ribose 2'-O-methyltransferase Hen1	
TIGR04075	polynucleotide kinase-phosphatase	
TIGR04076	TIGR04076 family protein	
TIGR04077	exported signaling peptide, YydF/SAG_2028 family	
TIGR04078	peptide modification radical SAM enzyme, YydG family	
TIGR04079	KxxxW-cyclized secreted peptide	
TIGR04080	KxxxW cyclic peptide radical SAM maturase	kwcM
TIGR04081	radical SAM modification target peptide, selenobiotic family	
TIGR04082	selenobiotic family peptide radical SAM maturase	sbtM
TIGR04083	putative peptide-modifying radical SAM enzyme, Mhun_1560 family	
TIGR04084	putative peptide-modifying radical SAM enzyme, AF0577 family	
TIGR04085	radical SAM additional 4Fe4S-binding SPASM domain	
TIGR04086	putative membrane protein, TIGR04086 family	
TIGR04087	YqxM protein	yqxM
TIGR04088	SipW-cognate class signal peptide	
TIGR04089	alternate signal-mediated exported protein, RER_14450 family	
TIGR04090	alternate signal-mediated exported protein, CPF_0494 family	
TIGR04091	D-alanyl-lipoteichoic acid biosynthesis protein DltB	dltB
TIGR04092	D-alanyl-lipoteichoic acid biosynthesis protein DltD	dltD
TIGR04093	CRISPR-associated endonuclease Cas1, subtype CYANO	cas1
TIGR04094	YSIRK-targeted surface antigen transcriptional regulator	
TIGR04095	DNA phosphorothioation system restriction enzyme	
TIGR04096	DNA phosphorothioation-associated putative methyltransferase	
TIGR04098	biosynthesis cluster domain	
TIGR04099	probable biosynthetic protein, Pnap_2097 family	
TIGR04100	radical SAM enzyme, TIGR04100 family	
TIGR04101	CCGSCS motif protein	
TIGR04102	SWIM/SEC-C metal-binding motif protein, PBPRA1643 family	
TIGR04103	nif11-class peptide radical SAM maturase 3	
TIGR04104	cxxc_20_cxxc protein	
TIGR04105	[FeFe] hydrogenase, group B1/B3	
TIGR04106	CRISPR-associated protein GSU0052/csb3, Dpsyc system	csb3
TIGR04107	putative heme utilization radical SAM enzyme HutW	hutW
TIGR04108	putative heme utilization carrier protein HutX	hutX
TIGR04109	heme oxygenase, HugZ family	hugZ
TIGR04110	heme utilization protein HutZ	hutZ
TIGR04111	phage-associated protein, BcepMu gp16 family	
TIGR04112	putative selenium metabolism protein, YedE family	yedE
TIGR04113	CRISPR-associated protein Csx17, subtype Dpsyc	csx17
TIGR04114	modification target Cys-rich repeat	
TIGR04115	radical SAM peptide maturase, CXXX-repeat target family	
TIGR04116	CXXX repeat peptide modification system protein	
TIGR04117	Cys-Xaa-Xaa-Xaa repeat radical SAM target protein	
TIGR04118	modification target Cys-rich peptide, AC3_0185 family	
TIGR04119	CXXX repeat peptide maturase	
TIGR04120	DNA ligase, ATP-dependent, PP_1105 family	
TIGR04121	DEXH box helicase, DNA ligase-associated	
TIGR04122	putative exonuclease, DNA ligase-associated	
TIGR04123	metallophosphoesterase, DNA ligase-associated	
TIGR04124	archaeosortase family protein ArtE	artE
TIGR04125	archaeosortase A	artA
TIGR04126	PGF-CTERM archaeal protein-sorting signal	
TIGR04127	exosortase F-associated protein	
TIGR04128	exosortase family protein XrtF	xrtF
TIGR04129	CxxH/CxxC protein, BA_5709 family	
TIGR04130	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase	fnlA
TIGR04131	gliding motility-associated C-terminal domain	
TIGR04132	putative folate metabolism gamma-glutamate ligase	
TIGR04133	radical SAM enzyme, rSAM/lipoprotein system	
TIGR04134	putative lipoprotein, rSAM/lipoprotein system	
TIGR04135	Cys-rich radical SAM target, FibroRumin family	
TIGR04136	radical SAM peptide maturase, FibroRumin system	
TIGR04137	Chlam_Verruc_Plancto small basic protein	
TIGR04138	Verruc_Plancto-restricted protein	
TIGR04139	putative peptide modification target, TIGR04139 family	
TIGR04140	TIGR04140 family protein	
TIGR04141	sporadically distributed protein, TIGR04141 family	
TIGR04142	putative peptidyl-prolyl cis-trans isomerase, LIC12922 family	
TIGR04143	VPXXXP-CTERM protein sorting domain	
TIGR04144	archaeosortase B	artB
TIGR04145	Firmicu-CTERM domain	
TIGR04146	phosphoglycerol geranylgeranyltransferase	
TIGR04147	phosphoglycerol geranylgeranyltransferase, putative	
TIGR04148	radical SAM peptide maturase, GG-Bacteroidales family	
TIGR04149	natural product precursor, GG-Bacteroidales family	
TIGR04150	pseudo-rSAM protein, GG-Bacteroidales system	
TIGR04151	exosortase C, VPDSG-CTERM-specific	xrtC
TIGR04152	exosortase D, VPLPA-CTERM-specific	xrtD
