L1	ID	Function	EC
moron, auxiliary metabolic gene and host takeover	phrog_816	cell division inhibitor	
tail	phrog_817	tail fiber protein	
unknown function	phrog_818	NA	
tail	phrog_819	tail protein	
tail	phrog_820	major tail protein	
transcription regulation	phrog_821	transcriptional regulator	
lysis	phrog_822	amidase	
unknown function	phrog_823	NA	
unknown function	phrog_824	NA	
unknown function	phrog_825	NA	
DNA, RNA and nucleotide metabolism	phrog_826	HNH endonuclease	
DNA, RNA and nucleotide metabolism	phrog_827	Holliday junction resolvase	
unknown function	phrog_828	NA	
unknown function	phrog_829	NA	
connector	phrog_830	head-tail connector protein	
unknown function	phrog_831	NA	
DNA, RNA and nucleotide metabolism	phrog_832	RNA polymerase ADP-ribosylase	
lysis	phrog_833	endolysin	
unknown function	phrog_834	NA	
unknown function	phrog_835	NA	
transcription regulation	phrog_836	late transcriptional activator	
tail	phrog_837	minor tail protein	
unknown function	phrog_838	NA	
unknown function	phrog_839	NA	
head and packaging	phrog_840	major head protein	
moron, auxiliary metabolic gene and host takeover	phrog_841	GtrB-like O-antigen conversion	
other	phrog_842	beta-glucosyl-HMC-alpha-glucosyltransferase	
DNA, RNA and nucleotide metabolism	phrog_843	Holliday junction resolvase	
moron, auxiliary metabolic gene and host takeover	phrog_844	ferredoxin	
unknown function	phrog_845	NA	
unknown function	phrog_846	NA	
transcription regulation	phrog_847	anti-repressor Ant	
unknown function	phrog_848	NA	
DNA, RNA and nucleotide metabolism	phrog_849	DNA primase	
DNA, RNA and nucleotide metabolism	phrog_850	RNA-binding protein	
moron, auxiliary metabolic gene and host takeover	phrog_851	Shiga toxin subunit B	
unknown function	phrog_852	NA	
tail	phrog_853	major tail protein	
moron, auxiliary metabolic gene and host takeover	phrog_854	glucosyltransferase	
unknown function	phrog_855	NA	
unknown function	phrog_856	NA	
unknown function	phrog_857	NA	
transcription regulation	phrog_858	starvation-inducible transcriptional regulator	
head and packaging	phrog_859	portal protein	
lysis	phrog_860	holin	
integration and excision	phrog_861	site-specific recombination directionality factor RDF	
unknown function	phrog_862	NA	
tail	phrog_863	tail fiber assembly	
DNA, RNA and nucleotide metabolism	phrog_864	DNA primase	
DNA, RNA and nucleotide metabolism	phrog_865	HNH endonuclease	
moron, auxiliary metabolic gene and host takeover	phrog_866	Shiga toxin subunit A	
DNA, RNA and nucleotide metabolism	phrog_867	DNA binding domain	
transcription regulation	phrog_868	transcriptional activator	
unknown function	phrog_869	NA	
unknown function	phrog_870	NA	
unknown function	phrog_871	NA	
unknown function	phrog_872	NA	
head and packaging	phrog_873	endolysin	
unknown function	phrog_874	NA	
unknown function	phrog_875	NA	
transcription regulation	phrog_876	transcriptional repressor	
unknown function	phrog_877	NA	
unknown function	phrog_878	NA	
connector	phrog_879	tail completion or Neck1 protein	
lysis	phrog_880	endolysin	
lysis	phrog_881	holin	
unknown function	phrog_882	NA	
moron, auxiliary metabolic gene and host takeover	phrog_883	flavodoxin	
unknown function	phrog_884	NA	
tail	phrog_885	major tail protein	
moron, auxiliary metabolic gene and host takeover	phrog_886	ABC transporter ATP-binding subunit	
moron, auxiliary metabolic gene and host takeover	phrog_887	queuine tRNA-ribosyltransferase	
unknown function	phrog_888	NA	
unknown function	phrog_889	NA	
other	phrog_890	lipoprotein	
head and packaging	phrog_891	terminase small subunit	
tail	phrog_892	tail fiber protein	
unknown function	phrog_893	NA	
lysis	phrog_894	endolysin	
unknown function	phrog_895	NA	
unknown function	phrog_896	NA	
unknown function	phrog_897	NA	
unknown function	phrog_898	NA	
unknown function	phrog_899	NA	
unknown function	phrog_900	NA	
unknown function	phrog_901	NA	
unknown function	phrog_902	NA	
unknown function	phrog_903	NA	
integration and excision	phrog_904	excisionase	
unknown function	phrog_905	NA	
DNA, RNA and nucleotide metabolism	phrog_906	DNA polymerase/primase	
tail	phrog_907	tail sheath	
unknown function	phrog_908	NA	
head and packaging	phrog_909	major head protein	
tail	phrog_910	tail collar fiber protein	
unknown function	phrog_911	NA	
unknown function	phrog_912	NA	
head and packaging	phrog_913	minor head protein	
unknown function	phrog_914	NA	
unknown function	phrog_915	NA	
unknown function	phrog_916	NA	
other	phrog_917	released from the phage upon host infection	
unknown function	phrog_918	NA	
unknown function	phrog_919	NA	
lysis	phrog_920	holin	
unknown function	phrog_921	NA	
unknown function	phrog_922	NA	
unknown function	phrog_923	NA	
unknown function	phrog_924	NA	
DNA, RNA and nucleotide metabolism	phrog_925	HTH DNA binding protein	
unknown function	phrog_926	NA	
connector	phrog_927	tail completion or Neck1 protein	
unknown function	phrog_928	NA	
moron, auxiliary metabolic gene and host takeover	phrog_929	RstB sensor of two protein system	
DNA, RNA and nucleotide metabolism	phrog_930	ParB-like partition protein	
head and packaging	phrog_931	head morphogenesis	
unknown function	phrog_932	NA	
unknown function	phrog_933	NA	
tail	phrog_934	tail length tape measure protein	
unknown function	phrog_935	NA	
unknown function	phrog_936	NA	
other	phrog_937	hemolysin	
lysis	phrog_938	endolysin	
head and packaging	phrog_939	head protein	
DNA, RNA and nucleotide metabolism	phrog_940	nuclease	
unknown function	phrog_941	NA	
DNA, RNA and nucleotide metabolism	phrog_942	replication initiation protein	
transcription regulation	phrog_943	anti-termination protein Q-like	
moron, auxiliary metabolic gene and host takeover	phrog_944	membrane protein	
DNA, RNA and nucleotide metabolism	phrog_945	endonuclease	
unknown function	phrog_946	NA	
DNA, RNA and nucleotide metabolism	phrog_947	DNA polymerase processivity factor	
unknown function	phrog_948	NA	
unknown function	phrog_949	NA	
unknown function	phrog_950	NA	
unknown function	phrog_951	NA	
lysis	phrog_952	Rz-like spanin	
DNA, RNA and nucleotide metabolism	phrog_953	HNH endonuclease	
other	phrog_954	DNA methyltransferase	
DNA, RNA and nucleotide metabolism	phrog_955	HTH DNA binding protein	
integration and excision	phrog_956	transposase	
head and packaging	phrog_957	head protein	
tail	phrog_958	baseplate wedge subunit	
DNA, RNA and nucleotide metabolism	phrog_959	HNH endonuclease	
DNA, RNA and nucleotide metabolism	phrog_960	HNH endonuclease	
unknown function	phrog_961	NA	
lysis	phrog_962	holin	
tail	phrog_963	baseplate wedge subunit	
tail	phrog_964	baseplate wedge subunit	
DNA, RNA and nucleotide metabolism	phrog_965	Panton-Valentine leukocicin	
unknown function	phrog_966	NA	
tail	phrog_967	baseplate wedge tail fiber protein connector	
DNA, RNA and nucleotide metabolism	phrog_968	RNA ligase	
unknown function	phrog_969	NA	
unknown function	phrog_970	NA	
lysis	phrog_971	endolysin	
tail	phrog_972	tail fiber protein proximal subunit	
